0,1,2,3,4,5,6,7
64.0,64.0,0.0,0,0,3003,308,1
96.0,64.0,0.0,0,1,3003,308,1
56.0,72.0,0.0,0,2,3004,308,1
64.0,80.0,0.0,1,3,3004,308,1
96.0,80.0,0.0,1,4,3004,308,1
56.0,168.0,0.0,0,5,3003,308,1
72.0,168.0,0.0,1,6,3005,308,1
96.0,168.0,0.0,0,7,3003,308,1
72.0,176.0,0.0,1,8,3024,308,1
64.0,184.0,0.0,1,9,3024,308,1
96.0,160.0,0.0,1,10,3024,308,1
64.0,160.0,3.2,1,11,3023,308,1
96.0,160.0,3.2,1,12,3023,308,1
64.0,64.0,6.4,1,13,3023,192,1
96.0,64.0,6.4,1,14,3023,192,1
56.0,72.0,6.4,0,15,3023,308,1
64.0,72.0,6.4,1,16,3005,26,1
72.0,72.0,6.4,1,17,3024,308,1
96.0,72.0,6.4,0,18,3022,308,1
64.0,80.0,6.4,1,19,3023,308,1
56.0,160.0,6.4,1,20,3024,192,1
64.0,160.0,6.4,1,21,3023,308,1
96.0,160.0,6.4,1,22,3023,192,1
56.0,168.0,6.4,0,23,3022,308,1
72.0,168.0,6.4,1,24,3024,308,1
96.0,168.0,6.4,0,25,3022,308,1
56.0,64.0,9.600000000000001,1,26,3023,154,1
72.0,64.0,9.600000000000001,1,27,3024,154,1
96.0,64.0,9.600000000000001,1,28,3023,154,1
56.0,72.0,9.600000000000001,1,29,3024,192,1
72.0,72.0,9.600000000000001,1,30,3024,192,1
96.0,72.0,9.600000000000001,1,31,3023,192,1
56.0,80.0,9.600000000000001,1,32,3023,308,1
72.0,80.0,9.600000000000001,1,33,3024,308,1
96.0,80.0,9.600000000000001,1,34,3023,308,1
56.0,160.0,9.600000000000001,1,35,3023,154,1
72.0,160.0,9.600000000000001,1,36,3024,154,1
96.0,160.0,9.600000000000001,1,37,3023,154,1
56.0,168.0,9.600000000000001,1,38,3023,192,1
72.0,168.0,9.600000000000001,1,39,3024,192,1
96.0,168.0,9.600000000000001,0,40,3022,192,1
56.0,176.0,9.600000000000001,1,41,3024,192,1
64.0,176.0,9.600000000000001,1,42,3024,308,1
