brick_id,pickup_start,pickup_end,pickup_attempts,belt_activation,place_end
156,20240617_152004,20240617_152156,5,2,20240617_152209
33,20240617_152209,20240617_152223,1,0,20240617_152235
35,20240617_152235,20240617_152333,3,1,20240617_152346
37,20240617_152346,20240617_152434,2,1,20240617_152447
91,20240617_152447,20240617_152607,1,3,20240617_152620
31,20240617_152620,20240617_152641,2,0,20240617_152658
9,20240617_152658,20240617_152807,2,2,20240617_152819
34,20240617_152819,20240617_152833,1,0,20240617_152846
36,20240617_152846,20240617_152900,1,0,20240617_152913
38,20240617_152913,20240617_152927,1,0,20240617_152944
160,20240617_152944,20240617_153021,1,1,20240617_153033
162,20240617_153033,20240617_153110,1,1,20240617_153123
166,20240617_153123,20240617_153243,3,2,20240617_153256
57,20240617_153256,20240617_153349,3,1,20240617_153400
50,20240617_153400,20240617_153522,3,2,20240617_153532
16,20240617_153532,20240617_153546,1,0,20240617_153559
11,20240617_153559,20240617_153637,1,1,20240617_153647
163,20240617_153647,20240617_153710,2,0,20240617_153722
164,20240617_153722,20240617_153759,1,1,20240617_153811
54,20240617_153811,20240617_154005,4,3,20240617_154018
20,20240617_154018,20240617_154033,1,0,20240617_154045
17,20240617_154045,20240617_154059,1,0,20240617_154112
161,20240617_154112,20240617_154148,1,1,20240617_154158
