,x-Cordinates [px],y-Cordinates [px],Angle [rad],Brick Colour,Brick Type,Standard Deviation x,Standard Deviation y,Standard Deviation Angle,Frame
0,426.25,63.0,0.010391243648984416,yellow,2x4 brick,0.25,2.5,0.28140271609188156,0
1,401.25,419.0,-0.013785994900954376,white,2x4 brick,0.25,0.5,0.25722547754194275,0
2,88.5,263.75,0.059486784123982644,red,2x4 brick,0.5,0.75,0.3304982565668798,0
3,55.5,127.0,0.339698759822293,yellow,2x4 brick,0.5,2.5,0.6107102322651901,0
4,259.75,73.5,0.1168249029876674,yellow,1x2 brick,0.25,2.5,0.38783637543056454,0
5,180.5,301.5,-0.27101147244289714,white,2x2 brick,0.5,0.5,0.0,0
0,426.25,63.0,0.2036182124977033,yellow,2x4 brick,0.25,2.5,0.2871122303195269,1
1,401.25,419.0,0.17799144663126434,white,2x4 brick,0.25,0.5,0.2803055778743765,1
2,88.5,263.75,0.25290165654424557,red,2x4 brick,0.5,0.75,0.30587672265656185,1
3,55.5,127.125,0.5329016486281899,yellow,2x4 brick,0.5,2.381569860407206,0.49897617656722676,1
4,259.625,73.375,0.30928991323087085,yellow,1x2 brick,0.21650635094610965,2.6309456474811483,0.33503926220888697,1
5,180.5,301.375,-0.07559886238927144,white,2x2 brick,0.5,0.649519052838329,0.3333550945424805,1
0,426.25,63.0,0.138025835126847,yellow,2x4 brick,0.25,2.5,0.3011075987030826,2
1,401.25,419.0,0.11220178071771474,white,2x4 brick,0.25,0.5,0.2887691374817419,2
2,88.5,263.6666666666667,0.1878928777553123,red,2x4 brick,0.5,0.8498365855987975,0.32939574973783614,2
3,55.5,127.08333333333333,0.47179266058531866,yellow,2x4 brick,0.5,2.2623119934163713,0.5521506176523779,2
4,259.6666666666667,73.33333333333333,0.2439152558181348,yellow,1x2 brick,0.23570226039551584,2.6718699236468995,0.366699801101438,2
5,180.5,301.4166666666667,-0.14317227732241108,white,2x2 brick,0.5,0.6066758241067098,0.28847197238161043,2
0,426.25,63.0,0.10611714770044087,yellow,2x4 brick,0.25,2.5,0.30144757137220457,3
1,401.25,419.0,0.08003053917063374,white,2x4 brick,0.25,0.5,0.2861116743533978,3
2,88.5,263.6875,0.15582555801696757,red,2x4 brick,0.5,0.8267972847076845,0.33438666676421597,3
3,55.5,127.0625,0.43804207451489174,yellow,2x4 brick,0.5,2.1999644883497553,0.5696217035446345,3
4,259.625,73.3125,0.21218945597923464,yellow,1x2 brick,0.21650635094610965,2.6918569334197535,0.3762169813737064,3
5,180.5,301.4375,-0.17516752508588954,white,2x2 brick,0.5,0.582961190818051,0.2558967502248545,3
0,426.25,63.0,0.0869807669531856,yellow,2x4 brick,0.25,2.5,0.300006276162082,4
1,401.25,419.0,0.06097038729521943,white,2x4 brick,0.25,0.5,0.28288122478912187,4
2,88.5,263.7,0.13666296395693633,red,2x4 brick,0.5,0.812403840463596,0.33591034526061875,4
3,55.5,127.05,0.4194643337171451,yellow,2x4 brick,0.5,2.1615966321217286,0.5804200725974957,4
4,259.65,73.3,0.19311833044786783,yellow,1x2 brick,0.22912878474779202,2.703701166919155,0.38048784532548796,4
5,180.5,301.45,-0.19433631455729106,white,2x2 brick,0.5,0.5678908345800274,0.23206957443772958,4
0,426.25,63.0,0.07384732916070319,yellow,2x4 brick,0.25,2.5,0.29875021250800227,5
1,401.25,419.0,0.0477544314265382,white,2x4 brick,0.25,0.5,0.2802809894267686,5
2,88.5,263.6666666666667,0.11725171528144133,red,2x4 brick,0.5,0.8498365855987975,0.33235375135848405,5
3,55.5,127.04166666666667,0.40832206172386615,yellow,2x4 brick,0.5,2.1355945047899167,0.5891145238205259,5
4,259.625,73.29166666666667,0.18005103631497568,yellow,1x2 brick,0.21650635094610965,2.7115365672539906,0.3831944767066993,5
