,0,1,2
0,4,tensor([1.]),0
1,0,tensor([1.]),0
2,2,tensor([0.]),0
3,1,tensor([2.]),0
4,5,tensor([2.]),0
5,3,tensor([1.]),0
6,4,tensor([1.]),1
7,0,tensor([1.]),1
8,2,tensor([0.]),1
9,1,tensor([2.]),1
10,3,tensor([1.]),1
11,5,tensor([2.]),1
12,4,tensor([1.]),2
13,0,tensor([1.]),2
14,2,tensor([0.]),2
15,1,tensor([2.]),2
16,5,tensor([2.]),2
17,3,tensor([1.]),2
18,4,tensor([1.]),3
19,0,tensor([1.]),3
20,2,tensor([0.]),3
21,1,tensor([2.]),3
22,5,tensor([2.]),3
23,3,tensor([1.]),3
24,4,tensor([1.]),4
25,0,tensor([1.]),4
26,2,tensor([0.]),4
27,1,tensor([2.]),4
28,5,tensor([2.]),4
29,3,tensor([1.]),4
30,4,tensor([1.]),5
31,0,tensor([1.]),5
32,2,tensor([0.]),5
33,1,tensor([2.]),5
34,3,tensor([1.]),5
35,5,tensor([2.]),5
36,4,tensor([1.]),6
37,0,tensor([1.]),6
38,2,tensor([0.]),6
39,1,tensor([2.]),6
40,3,tensor([1.]),6
41,5,tensor([2.]),6
42,4,tensor([1.]),7
43,0,tensor([1.]),7
44,2,tensor([0.]),7
45,1,tensor([2.]),7
46,3,tensor([1.]),7
47,5,tensor([2.]),7
48,4,tensor([1.]),8
49,0,tensor([1.]),8
50,2,tensor([0.]),8
51,1,tensor([2.]),8
52,5,tensor([2.]),8
53,3,tensor([1.]),8
54,4,tensor([1.]),9
55,0,tensor([1.]),9
56,2,tensor([0.]),9
57,1,tensor([2.]),9
58,5,tensor([2.]),9
59,3,tensor([1.]),9
60,4,tensor([1.]),10
61,0,tensor([1.]),10
62,2,tensor([0.]),10
63,1,tensor([2.]),10
64,3,tensor([1.]),10
65,5,tensor([2.]),10
66,4,tensor([1.]),11
67,0,tensor([1.]),11
68,2,tensor([0.]),11
69,1,tensor([2.]),11
70,5,tensor([2.]),11
71,3,tensor([1.]),11
72,4,tensor([1.]),12
73,0,tensor([1.]),12
74,2,tensor([0.]),12
75,1,tensor([2.]),12
76,3,tensor([1.]),12
77,5,tensor([2.]),12
78,4,tensor([1.]),13
79,0,tensor([1.]),13
80,2,tensor([0.]),13
81,1,tensor([2.]),13
82,3,tensor([1.]),13
83,5,tensor([2.]),13
84,4,tensor([1.]),14
85,0,tensor([1.]),14
86,2,tensor([0.]),14
87,1,tensor([2.]),14
88,3,tensor([1.]),14
89,5,tensor([2.]),14
90,4,tensor([1.]),15
91,0,tensor([1.]),15
92,2,tensor([0.]),15
93,1,tensor([2.]),15
94,3,tensor([1.]),15
95,5,tensor([2.]),15
96,4,tensor([1.]),16
97,0,tensor([1.]),16
98,2,tensor([0.]),16
99,1,tensor([2.]),16
100,3,tensor([1.]),16
101,5,tensor([2.]),16
102,4,tensor([1.]),17
103,0,tensor([1.]),17
104,2,tensor([0.]),17
105,1,tensor([2.]),17
106,3,tensor([1.]),17
107,5,tensor([2.]),17
108,4,tensor([1.]),18
109,0,tensor([1.]),18
