,0,1,2
0,0,tensor([0.]),1
1,2,tensor([0.]),1
2,1,tensor([0.]),1
3,3,tensor([0.]),1
4,5,tensor([2.]),1
5,4,tensor([6.]),1
6,0,tensor([0.]),2
7,2,tensor([0.]),2
8,1,tensor([0.]),2
9,3,tensor([0.]),2
10,4,tensor([6.]),2
11,5,tensor([2.]),2
12,0,tensor([0.]),3
13,2,tensor([0.]),3
14,1,tensor([0.]),3
15,3,tensor([0.]),3
16,4,tensor([6.]),3
17,5,tensor([2.]),3
18,0,tensor([0.]),4
19,2,tensor([0.]),4
20,1,tensor([0.]),4
21,3,tensor([0.]),4
22,4,tensor([6.]),4
23,5,tensor([2.]),4
24,0,tensor([0.]),5
25,1,tensor([0.]),5
26,2,tensor([0.]),5
27,3,tensor([0.]),5
28,4,tensor([6.]),5
29,5,tensor([2.]),5
30,0,tensor([0.]),6
31,1,tensor([0.]),6
32,2,tensor([0.]),6
33,3,tensor([0.]),6
34,4,tensor([6.]),6
35,5,tensor([2.]),6
36,0,tensor([0.]),7
37,1,tensor([0.]),7
38,2,tensor([0.]),7
39,3,tensor([0.]),7
40,4,tensor([6.]),7
41,5,tensor([2.]),7
42,0,tensor([0.]),8
43,1,tensor([0.]),8
44,2,tensor([0.]),8
45,3,tensor([0.]),8
46,5,tensor([2.]),8
47,4,tensor([6.]),8
48,0,tensor([0.]),9
49,1,tensor([0.]),9
50,2,tensor([0.]),9
51,3,tensor([0.]),9
52,4,tensor([6.]),9
53,5,tensor([2.]),9
54,0,tensor([0.]),10
55,2,tensor([0.]),10
56,1,tensor([0.]),10
57,3,tensor([0.]),10
58,4,tensor([6.]),10
59,5,tensor([2.]),10
60,0,tensor([0.]),11
61,2,tensor([0.]),11
62,1,tensor([0.]),11
63,3,tensor([0.]),11
64,4,tensor([6.]),11
65,5,tensor([2.]),11
66,0,tensor([0.]),12
67,2,tensor([0.]),12
68,1,tensor([0.]),12
69,3,tensor([0.]),12
70,5,tensor([2.]),12
71,4,tensor([6.]),12
72,0,tensor([0.]),13
73,2,tensor([0.]),13
74,1,tensor([0.]),13
75,3,tensor([0.]),13
76,4,tensor([6.]),13
77,5,tensor([2.]),13
78,0,tensor([0.]),14
79,1,tensor([0.]),14
80,2,tensor([0.]),14
81,3,tensor([0.]),14
82,4,tensor([6.]),14
83,5,tensor([2.]),14
84,0,tensor([0.]),15
85,2,tensor([0.]),15
86,1,tensor([0.]),15
87,3,tensor([0.]),15
88,4,tensor([6.]),15
89,5,tensor([2.]),15
90,0,tensor([0.]),16
91,2,tensor([0.]),16
92,1,tensor([0.]),16
93,3,tensor([0.]),16
94,4,tensor([6.]),16
95,5,tensor([2.]),16
96,0,tensor([0.]),17
97,2,tensor([0.]),17
98,1,tensor([0.]),17
99,3,tensor([0.]),17
100,4,tensor([6.]),17
101,5,tensor([2.]),17
102,0,tensor([0.]),18
103,2,tensor([0.]),18
104,1,tensor([0.]),18
105,3,tensor([0.]),18
106,4,tensor([6.]),18
107,5,tensor([2.]),18
108,0,tensor([0.]),19
109,2,tensor([0.]),19
110,1,tensor([0.]),19
111,3,tensor([0.]),19
112,4,tensor([6.]),19
113,5,tensor([2.]),19
114,0,tensor([0.]),20
115,2,tensor([0.]),20
116,1,tensor([0.]),20
117,3,tensor([0.]),20
118,4,tensor([6.]),20
119,5,tensor([2.]),20
120,0,tensor([0.]),21
121,1,tensor([0.]),21
122,2,tensor([0.]),21
123,3,tensor([0.]),21
124,5,tensor([2.]),21
125,4,tensor([6.]),21
126,0,tensor([0.]),22
127,2,tensor([0.]),22
128,1,tensor([0.]),22
129,3,tensor([0.]),22
130,5,tensor([2.]),22
131,4,tensor([6.]),22
132,0,tensor([0.]),23
133,2,tensor([0.]),23
134,1,tensor([0.]),23
135,3,tensor([0.]),23
136,4,tensor([6.]),23
137,5,tensor([2.]),23
138,0,tensor([0.]),24
139,2,tensor([0.]),24
140,1,tensor([0.]),24
141,3,tensor([0.]),24
142,4,tensor([6.]),24
143,5,tensor([2.]),24
144,0,tensor([0.]),25
145,1,tensor([0.]),25
146,2,tensor([0.]),25
147,3,tensor([0.]),25
148,4,tensor([6.]),25
149,5,tensor([2.]),25
150,0,tensor([0.]),26
151,2,tensor([0.]),26
152,1,tensor([0.]),26
153,3,tensor([0.]),26
154,4,tensor([6.]),26
155,5,tensor([2.]),26
156,0,tensor([0.]),27
157,1,tensor([0.]),27
158,2,tensor([0.]),27
159,3,tensor([0.]),27
160,4,tensor([6.]),27
161,5,tensor([2.]),27
162,0,tensor([0.]),28
163,1,tensor([0.]),28
164,2,tensor([0.]),28
165,3,tensor([0.]),28
166,4,tensor([6.]),28
167,5,tensor([2.]),28
168,0,tensor([0.]),29
169,2,tensor([0.]),29
170,1,tensor([0.]),29
171,3,tensor([0.]),29
172,4,tensor([6.]),29
173,5,tensor([2.]),29
174,0,tensor([0.]),30
175,2,tensor([0.]),30
176,1,tensor([0.]),30
177,3,tensor([0.]),30
178,4,tensor([6.]),30
179,5,tensor([2.]),30
180,0,tensor([0.]),31
181,1,tensor([0.]),31
182,2,tensor([0.]),31
183,3,tensor([0.]),31
184,4,tensor([6.]),31
185,5,tensor([2.]),31
186,0,tensor([0.]),32
187,2,tensor([0.]),32
188,1,tensor([0.]),32
189,3,tensor([0.]),32
190,4,tensor([6.]),32
191,5,tensor([2.]),32
192,0,tensor([0.]),33
193,2,tensor([0.]),33
194,1,tensor([0.]),33
195,3,tensor([0.]),33
196,4,tensor([6.]),33
197,5,tensor([2.]),33
198,0,tensor([0.]),34
199,2,tensor([0.]),34
200,1,tensor([0.]),34
201,3,tensor([0.]),34
202,4,tensor([6.]),34
203,5,tensor([2.]),34
204,0,tensor([0.]),35
205,1,tensor([0.]),35
206,2,tensor([0.]),35
207,3,tensor([0.]),35
208,4,tensor([6.]),35
209,5,tensor([2.]),35
210,0,tensor([0.]),36
211,2,tensor([0.]),36
212,1,tensor([0.]),36
213,3,tensor([0.]),36
214,4,tensor([6.]),36
215,5,tensor([2.]),36
216,0,tensor([0.]),37
217,2,tensor([0.]),37
218,1,tensor([0.]),37
219,3,tensor([0.]),37
220,4,tensor([6.]),37
221,5,tensor([2.]),37
222,0,tensor([0.]),38
223,1,tensor([0.]),38
224,2,tensor([0.]),38
225,3,tensor([0.]),38
226,4,tensor([6.]),38
227,5,tensor([2.]),38
228,0,tensor([0.]),39
229,2,tensor([0.]),39
230,1,tensor([0.]),39
231,3,tensor([0.]),39
232,4,tensor([6.]),39
233,5,tensor([2.]),39
234,0,tensor([0.]),40
235,2,tensor([0.]),40
236,1,tensor([0.]),40
237,3,tensor([0.]),40
238,4,tensor([6.]),40
239,5,tensor([2.]),40
240,0,tensor([0.]),41
241,2,tensor([0.]),41
242,1,tensor([0.]),41
243,3,tensor([0.]),41
244,4,tensor([6.]),41
245,5,tensor([2.]),41
246,0,tensor([0.]),42
247,2,tensor([0.]),42
248,1,tensor([0.]),42
249,3,tensor([0.]),42
250,4,tensor([6.]),42
251,5,tensor([2.]),42
252,0,tensor([0.]),43
253,2,tensor([0.]),43
254,1,tensor([0.]),43
255,3,tensor([0.]),43
256,4,tensor([6.]),43
257,5,tensor([2.]),43
258,0,tensor([0.]),44
259,2,tensor([0.]),44
260,1,tensor([0.]),44
261,3,tensor([0.]),44
262,4,tensor([6.]),44
263,5,tensor([2.]),44
264,0,tensor([0.]),45
265,1,tensor([0.]),45
266,2,tensor([0.]),45
267,3,tensor([0.]),45
268,4,tensor([6.]),45
269,5,tensor([2.]),45
270,0,tensor([0.]),46
271,2,tensor([0.]),46
272,1,tensor([0.]),46
273,3,tensor([0.]),46
274,4,tensor([6.]),46
275,5,tensor([2.]),46
276,0,tensor([0.]),47
277,1,tensor([0.]),47
278,2,tensor([0.]),47
279,3,tensor([0.]),47
280,4,tensor([6.]),47
281,5,tensor([2.]),47
282,0,tensor([0.]),48
283,2,tensor([0.]),48
284,1,tensor([0.]),48
285,3,tensor([0.]),48
286,4,tensor([6.]),48
287,5,tensor([2.]),48
288,0,tensor([0.]),49
289,2,tensor([0.]),49
290,1,tensor([0.]),49
291,3,tensor([0.]),49
292,4,tensor([6.]),49
293,5,tensor([2.]),49
294,0,tensor([0.]),50
295,2,tensor([0.]),50
296,1,tensor([0.]),50
297,3,tensor([0.]),50
298,4,tensor([6.]),50
299,5,tensor([2.]),50
300,0,tensor([0.]),51
301,2,tensor([0.]),51
302,1,tensor([0.]),51
303,3,tensor([0.]),51
304,4,tensor([6.]),51
305,5,tensor([2.]),51
306,0,tensor([0.]),52
307,1,tensor([0.]),52
308,2,tensor([0.]),52
309,3,tensor([0.]),52
310,4,tensor([6.]),52
311,5,tensor([2.]),52
312,0,tensor([0.]),53
313,1,tensor([0.]),53
314,2,tensor([0.]),53
315,3,tensor([0.]),53
316,4,tensor([6.]),53
317,5,tensor([2.]),53
318,0,tensor([0.]),54
319,2,tensor([0.]),54
320,1,tensor([0.]),54
321,3,tensor([0.]),54
322,4,tensor([6.]),54
323,5,tensor([2.]),54
324,0,tensor([0.]),55
325,2,tensor([0.]),55
326,1,tensor([0.]),55
327,3,tensor([0.]),55
328,4,tensor([6.]),55
329,5,tensor([2.]),55
330,0,tensor([0.]),56
331,2,tensor([0.]),56
332,1,tensor([0.]),56
333,3,tensor([0.]),56
334,5,tensor([2.]),56
335,4,tensor([6.]),56
336,0,tensor([0.]),57
337,1,tensor([0.]),57
338,2,tensor([0.]),57
339,3,tensor([0.]),57
340,4,tensor([6.]),57
341,5,tensor([2.]),57
342,0,tensor([0.]),58
343,1,tensor([0.]),58
344,2,tensor([0.]),58
345,3,tensor([0.]),58
346,5,tensor([2.]),58
