,0,1,2
0,4,260.0,0
1,0,426.0,0
2,2,89.0,0
3,1,401.5,0
4,5,181.0,0
5,3,56.0,0
6,0,426.5,1
7,2,88.0,1
8,1,401.0,1
9,3,55.0,1
10,5,180.0,1
11,4,259.5,1
12,4,259.5,1
13,0,426.0,1
14,2,89.0,1
15,1,401.5,1
16,3,56.0,1
17,5,181.0,1
18,0,426.5,2
19,2,88.0,2
20,1,401.0,2
21,3,55.0,2
22,4,259.5,2
23,5,180.0,2
24,4,260.0,2
25,0,426.0,2
26,2,89.0,2
27,1,401.5,2
28,5,181.0,2
29,3,56.0,2
30,0,426.5,3
31,2,88.0,3
32,1,401.0,3
33,3,55.0,3
34,4,259.5,3
35,5,180.0,3
36,4,259.5,3
37,0,426.0,3
38,2,89.0,3
39,1,401.5,3
40,5,181.0,3
41,3,56.0,3
42,0,426.5,4
43,2,88.0,4
44,1,401.0,4
45,3,55.0,4
46,4,259.5,4
47,5,180.0,4
48,4,260.0,4
49,0,426.0,4
50,2,89.0,4
51,1,401.5,4
52,5,181.0,4
53,3,56.0,4
54,0,426.5,5
55,1,401.0,5
56,2,88.0,5
57,3,55.0,5
58,4,259.5,5
59,5,180.0,5
60,4,259.5,5
61,0,426.0,5
62,2,89.0,5
63,1,401.5,5
64,3,56.0,5
65,5,181.0,5
66,0,426.5,6
67,1,401.0,6
68,2,88.0,6
69,3,55.0,6
70,4,259.5,6
71,5,180.0,6
72,4,259.5,6
73,0,426.0,6
74,2,89.0,6
75,1,401.5,6
76,3,56.0,6
77,5,181.0,6
78,0,426.5,7
79,1,401.0,7
80,2,88.0,7
81,3,55.0,7
82,4,259.5,7
83,5,180.0,7
84,4,260.5,7
85,0,426.0,7
86,2,89.0,7
87,1,401.5,7
88,3,56.0,7
89,5,181.0,7
90,0,426.5,8
91,1,401.0,8
92,2,88.0,8
93,3,55.0,8
94,5,180.0,8
95,4,259.5,8
96,4,259.5,8
97,0,426.0,8
98,2,89.0,8
99,1,401.5,8
100,5,181.0,8
101,3,56.0,8
102,0,426.5,9
103,1,401.0,9
104,2,88.0,9
105,3,55.0,9
106,4,259.5,9
107,5,180.0,9
108,4,260.0,9
109,0,426.0,9
110,2,89.0,9
111,1,401.5,9
112,5,181.0,9
113,3,56.0,9
114,0,426.5,10
115,2,88.0,10
116,1,401.0,10
117,3,55.0,10
118,4,259.5,10
119,5,180.0,10
120,4,259.5,10
121,0,426.0,10
122,2,89.0,10
123,1,401.5,10
124,3,56.0,10
125,5,181.0,10
126,0,426.5,11
127,2,88.0,11
128,1,401.0,11
129,3,55.0,11
130,4,259.5,11
131,5,180.0,11
132,4,259.5,11
133,0,426.0,11
134,2,89.0,11
135,1,401.5,11
136,5,181.0,11
137,3,56.0,11
138,0,426.5,12
139,2,88.0,12
140,1,401.0,12
141,3,55.0,12
142,5,180.0,12
143,4,259.5,12
144,4,259.5,12
145,0,426.0,12
146,2,89.0,12
147,1,401.5,12
148,3,56.0,12
149,5,181.0,12
150,0,426.5,13
151,2,88.0,13
152,1,401.0,13
153,3,55.0,13
154,4,259.5,13
155,5,180.0,13
156,4,259.5,13
157,0,426.0,13
158,2,89.0,13
159,1,401.5,13
160,3,56.0,13
161,5,181.0,13
162,0,426.5,14
163,1,401.0,14
164,2,88.0,14
165,3,55.0,14
166,4,259.5,14
167,5,180.0,14
168,4,259.5,14
169,0,426.0,14
170,2,89.0,14
171,1,401.5,14
172,3,56.0,14
173,5,181.0,14
174,0,426.5,15
175,2,88.0,15
176,1,401.0,15
177,3,55.0,15
178,4,259.5,15
179,5,180.0,15
180,4,259.5,15
181,0,426.0,15
182,2,89.0,15
183,1,401.5,15
184,3,56.0,15
185,5,181.0,15
186,0,426.5,16
187,2,88.0,16
188,1,401.0,16
189,3,55.0,16
190,4,259.5,16
191,5,180.0,16
192,4,259.5,16
193,0,426.0,16
194,2,89.0,16
195,1,401.5,16
196,3,56.0,16
197,5,181.0,16
198,0,426.5,17
199,2,88.0,17
200,1,401.0,17
201,3,55.0,17
202,4,259.5,17
203,5,180.0,17
204,4,259.5,17
205,0,426.0,17
206,2,89.0,17
207,1,401.5,17
208,3,56.0,17
209,5,181.0,17
210,0,426.5,18
211,2,88.0,18
212,1,401.0,18
213,3,55.0,18
214,4,259.5,18
215,5,180.0,18
216,4,259.5,18
217,0,426.0,18
218,2,89.0,18
219,1,401.5,18
220,3,56.0,18
221,5,181.0,18
222,0,426.5,19
223,2,88.0,19
224,1,401.0,19
225,3,55.0,19
226,4,259.5,19
227,5,180.0,19
228,4,259.5,19
229,0,426.0,19
230,2,89.0,19
231,1,401.5,19
232,3,56.0,19
233,5,181.0,19
234,0,426.5,20
235,2,88.0,20
236,1,401.0,20
237,3,55.0,20
238,4,259.5,20
239,5,180.0,20
240,4,260.0,20
241,0,426.0,20
242,2,89.0,20
243,1,401.5,20
244,5,181.0,20
245,3,56.0,20
246,0,426.5,21
247,1,401.0,21
248,2,88.0,21
249,3,55.0,21
250,5,180.0,21
251,4,259.5,21
252,4,259.5,21
253,0,426.0,21
254,2,89.0,21
255,1,401.5,21
256,3,56.0,21
257,5,181.0,21
258,0,426.5,22
259,2,88.0,22
260,1,401.0,22
261,3,55.0,22
262,5,180.0,22
263,4,259.5,22
264,4,260.0,22
265,0,426.0,22
266,2,89.0,22
267,1,401.5,22
268,5,181.0,22
269,3,56.0,22
270,0,426.5,23
271,2,88.0,23
272,1,401.0,23
273,3,55.0,23
274,4,259.5,23
275,5,180.0,23
276,4,259.5,23
277,0,426.0,23
278,2,89.0,23
279,1,401.5,23
280,5,181.0,23
281,3,56.0,23
282,0,426.5,24
283,2,88.0,24
284,1,401.0,24
285,3,55.0,24
286,4,259.5,24
287,5,180.0,24
288,4,259.5,24
289,0,426.0,24
290,2,89.0,24
291,1,401.5,24
292,3,56.0,24
293,5,181.0,24
294,0,426.5,25
295,1,401.0,25
296,2,88.0,25
297,3,55.0,25
298,4,259.5,25
299,5,180.0,25
300,4,259.5,25
301,0,426.0,25
302,2,89.0,25
303,1,401.5,25
304,3,56.0,25
305,5,181.0,25
306,0,426.5,26
307,2,88.0,26
308,1,401.0,26
309,3,55.0,26
310,4,259.5,26
311,5,180.0,26
312,4,260.0,26
313,0,426.0,26
314,2,89.0,26
315,1,401.5,26
316,3,56.0,26
317,5,181.0,26
318,0,426.5,27
319,1,401.0,27
320,2,88.0,27
321,3,55.0,27
322,4,259.5,27
323,5,180.0,27
324,4,259.5,27
325,0,426.0,27
326,2,89.0,27
327,1,401.5,27
328,5,181.0,27
329,3,56.0,27
330,0,426.5,28
331,1,401.0,28
332,2,88.0,28
333,3,55.0,28
334,4,259.5,28
335,5,180.0,28
336,4,260.0,28
337,0,426.0,28
338,2,89.0,28
339,1,401.5,28
340,3,56.0,28
341,5,181.0,28
342,0,426.5,29
343,2,88.0,29
344,1,401.0,29
345,3,55.0,29
346,4,259.5,29
347,5,180.0,29
348,4,259.5,29
349,0,426.0,29
350,2,89.0,29
351,1,401.5,29
352,3,56.0,29
353,5,181.0,29
354,0,426.5,30
355,2,88.0,30
356,1,401.0,30
357,3,55.0,30
358,4,259.5,30
359,5,180.0,30
360,4,259.5,30
361,0,426.0,30
362,2,89.0,30
363,1,401.5,30
364,3,56.0,30
365,5,181.0,30
366,0,426.5,31
367,1,401.0,31
368,2,88.0,31
369,3,55.0,31
370,4,259.5,31
371,5,180.0,31
372,4,259.5,31
373,0,426.0,31
374,2,89.0,31
375,1,401.0,31
376,3,56.0,31
377,5,181.0,31
378,0,426.5,32
379,2,88.0,32
380,1,401.0,32
381,3,55.0,32
382,4,259.5,32
383,5,180.0,32
384,4,259.5,32
385,0,426.0,32
386,2,89.0,32
387,1,401.5,32
388,5,181.0,32
389,3,56.0,32
390,0,426.5,33
391,2,88.0,33
392,1,401.0,33
393,3,55.0,33
394,4,259.5,33
395,5,180.0,33
396,4,259.5,33
397,0,426.0,33
398,2,89.0,33
399,1,401.5,33
400,3,56.0,33
401,5,181.0,33
402,0,426.5,34
403,2,88.0,34
404,1,401.0,34
405,3,55.0,34
406,4,259.5,34
407,5,180.0,34
408,4,259.5,34
409,0,426.0,34
410,2,89.0,34
411,1,401.5,34
412,3,56.0,34
413,5,181.0,34
414,0,426.5,35
415,1,401.0,35
416,2,88.0,35
417,3,55.0,35
418,4,259.5,35
419,5,180.0,35
420,4,259.5,35
421,0,426.0,35
422,2,89.0,35
423,1,401.5,35
424,3,56.0,35
425,5,181.0,35
426,0,426.5,36
427,2,88.0,36
428,1,401.0,36
429,3,55.0,36
430,4,259.5,36
431,5,180.0,36
432,4,260.0,36
433,0,426.0,36
434,2,89.0,36
435,1,401.5,36
436,3,56.0,36
437,5,181.0,36
438,0,426.5,37
439,2,88.0,37
440,1,401.0,37
441,3,54.5,37
442,4,259.5,37
443,5,180.0,37
444,4,260.0,37
445,0,426.0,37
446,2,89.0,37
447,1,401.5,37
448,3,56.0,37
449,5,181.0,37
450,0,426.5,38
451,1,401.0,38
452,2,88.0,38
453,3,55.0,38
454,4,259.5,38
455,5,180.0,38
456,4,259.5,38
457,0,426.0,38
458,2,89.0,38
459,1,401.5,38
460,3,56.0,38
461,5,181.0,38
462,0,426.5,39
463,2,88.0,39
464,1,401.0,39
465,3,55.0,39
466,4,259.5,39
467,5,179.5,39
468,4,259.5,39
469,0,426.0,39
470,2,89.0,39
471,1,401.5,39
472,3,56.0,39
473,5,181.0,39
474,0,426.5,40
475,2,88.0,40
476,1,401.0,40
477,3,55.0,40
478,4,259.5,40
479,5,180.0,40
480,4,259.5,40
481,0,426.0,40
482,2,89.0,40
483,1,401.5,40
484,3,56.0,40
485,5,181.0,40
486,0,426.5,41
487,2,88.0,41
488,1,401.0,41
489,3,55.0,41
490,4,259.5,41
491,5,180.0,41
492,4,259.5,41
493,0,426.0,41
494,2,89.0,41
495,1,401.5,41
496,3,56.0,41
497,5,181.0,41
498,0,426.5,42
499,2,88.0,42
500,1,401.0,42
501,3,55.0,42
502,4,259.5,42
503,5,180.0,42
504,4,259.5,42
505,0,426.0,42
506,2,89.0,42
507,1,401.5,42
508,3,56.0,42
509,5,181.0,42
510,0,426.5,43
511,2,88.0,43
512,1,401.0,43
513,3,55.0,43
514,4,259.5,43
515,5,180.0,43
516,4,259.5,43
517,0,426.0,43
518,2,89.0,43
519,1,401.5,43
520,3,56.0,43
521,5,181.0,43
522,0,426.5,44
523,2,88.0,44
524,1,401.0,44
525,3,55.0,44
526,4,259.5,44
527,5,180.0,44
528,4,259.5,44
529,0,426.0,44
530,2,89.0,44
531,1,401.5,44
532,3,56.0,44
533,5,181.0,44
534,0,426.5,45
535,1,401.0,45
536,2,88.0,45
537,3,55.0,45
538,4,259.5,45
539,5,180.0,45
540,4,259.5,45
541,0,426.0,45
542,2,89.0,45
543,1,401.5,45
544,3,56.0,45
545,5,181.0,45
546,0,426.5,46
547,2,88.0,46
548,1,401.0,46
549,3,55.0,46
550,4,259.5,46
551,5,180.0,46
552,4,259.5,46
553,0,426.0,46
554,2,89.0,46
555,1,401.5,46
556,3,56.0,46
557,5,181.0,46
558,0,426.5,47
559,1,401.0,47
560,2,88.0,47
561,3,54.5,47
562,4,259.5,47
563,5,180.0,47
564,4,259.5,47
565,0,426.0,47
566,2,89.0,47
567,1,401.5,47
568,3,56.0,47
569,5,181.0,47
570,0,426.5,48
571,2,88.0,48
572,1,401.0,48
573,3,55.0,48
574,4,259.5,48
575,5,180.0,48
576,4,260.0,48
577,0,426.0,48
578,2,89.0,48
579,1,401.5,48
580,3,56.0,48
581,5,181.0,48
582,0,426.5,49
583,2,88.0,49
584,1,401.0,49
585,3,55.0,49
586,4,259.5,49
587,5,180.0,49
588,4,259.5,49
589,0,426.0,49
590,2,89.0,49
591,1,401.5,49
592,3,56.0,49
593,5,181.0,49
594,0,426.5,50
595,2,88.0,50
596,1,401.0,50
597,3,55.0,50
598,4,259.5,50
599,5,180.0,50
600,4,259.5,50
601,0,426.0,50
602,2,89.0,50
603,1,401.5,50
604,3,56.0,50
605,5,181.0,50
606,0,426.5,51
607,2,88.0,51
608,1,401.0,51
609,3,55.0,51
610,4,259.5,51
611,5,180.0,51
612,4,259.5,51
613,0,426.0,51
614,2,89.0,51
615,1,401.5,51
616,3,56.0,51
617,5,181.0,51
618,0,426.5,52
619,1,401.0,52
620,2,88.0,52
621,3,55.0,52
622,4,259.5,52
623,5,180.0,52
624,4,259.5,52
625,0,426.0,52
626,2,89.0,52
627,1,401.5,52
628,3,56.0,52
629,5,181.0,52
630,0,426.5,53
631,1,401.0,53
632,2,88.0,53
633,3,55.0,53
634,4,259.5,53
635,5,180.0,53
636,4,259.5,53
637,0,426.0,53
638,2,89.0,53
639,1,401.5,53
640,3,56.0,53
641,5,181.0,53
642,0,426.5,54
643,2,88.0,54
644,1,401.0,54
645,3,55.0,54
646,4,259.5,54
647,5,180.0,54
648,4,259.5,54
649,0,426.0,54
650,2,89.0,54
651,1,401.5,54
652,3,56.0,54
653,5,181.0,54
654,0,426.5,55
655,2,88.0,55
656,1,401.0,55
657,3,55.0,55
658,4,259.5,55
659,5,180.0,55
660,4,260.0,55
661,0,426.0,55
662,2,89.0,55
663,1,401.5,55
664,3,56.0,55
665,5,181.0,55
666,0,426.5,56
667,2,88.0,56
668,1,401.0,56
669,3,55.0,56
670,5,180.0,56
671,4,259.5,56
672,4,259.5,56
673,0,426.0,56
674,2,89.0,56
675,1,401.5,56
676,3,56.0,56
677,5,181.0,56
678,0,426.5,57
679,1,401.0,57
680,2,88.0,57
681,3,55.0,57
682,4,259.5,57
683,5,180.0,57
684,4,259.5,57
685,0,426.0,57
686,2,89.0,57
687,1,401.5,57
688,5,181.0,57
689,3,56.0,57
690,0,426.5,58
691,1,401.0,58
692,2,88.0,58
693,3,55.0,58
694,5,180.0,58
695,4,259.5,58
696,3,64.0,58
697,4,259.5,58
698,0,426.0,58
699,2,89.0,58
700,1,400.5,58
701,3,56.0,58
702,5,181.0,58
703,0,426.5,59
704,1,401.0,59
705,2,88.0,59
706,3,55.0,59
707,4,259.5,59
708,5,180.0,59
709,4,259.5,59
710,0,426.0,59
711,2,89.0,59
712,1,401.5,59
713,3,56.0,59
714,5,181.0,59
715,0,426.5,60
716,2,88.0,60
717,1,401.0,60
718,3,55.0,60
719,4,259.5,60
720,5,180.0,60
721,4,259.5,60
722,0,426.0,60
723,2,89.0,60
724,1,401.5,60
725,5,181.0,60
726,3,56.0,60
727,0,426.5,61
728,2,88.0,61
729,1,401.0,61
730,3,55.0,61
731,4,259.5,61
732,5,180.0,61
733,4,259.5,61
734,0,426.0,61
735,2,89.0,61
736,1,401.5,61
737,3,56.0,61
738,5,181.0,61
739,0,426.5,62
740,1,401.0,62
741,2,88.0,62
742,3,54.5,62
743,4,259.5,62
744,5,180.0,62
745,4,259.5,62
746,0,426.0,62
747,2,89.0,62
748,1,401.0,62
749,3,56.0,62
750,5,181.0,62
751,0,426.5,63
752,2,88.0,63
753,1,401.0,63
754,3,55.0,63
755,4,259.5,63
756,5,180.0,63
757,4,259.5,63
758,0,426.0,63
759,2,89.0,63
760,1,401.5,63
761,3,56.0,63
762,5,181.0,63
763,0,426.5,64
764,2,88.0,64
765,1,401.0,64
766,3,55.0,64
767,4,259.5,64
768,5,180.0,64
769,4,259.5,64
770,0,426.0,64
771,2,89.0,64
772,1,401.5,64
773,3,56.0,64
774,5,181.0,64
775,0,426.5,65
776,1,401.0,65
777,2,88.0,65
778,3,55.0,65
779,4,259.5,65
780,5,180.0,65
781,4,259.5,65
782,0,426.0,65
783,2,89.0,65
784,1,401.5,65
785,3,56.0,65
786,5,181.0,65
787,0,426.5,66
788,2,88.0,66
789,1,401.0,66
790,3,55.0,66
791,4,259.5,66
792,5,180.0,66
793,4,259.5,66
794,0,426.0,66
795,2,89.0,66
796,1,401.5,66
797,3,56.0,66
798,5,181.0,66
799,0,426.5,67
800,2,88.0,67
801,1,401.0,67
802,3,55.0,67
803,4,259.5,67
804,5,180.0,67
805,4,259.5,67
806,0,426.0,67
807,2,89.0,67
808,1,401.5,67
809,3,56.0,67
810,5,181.0,67
811,0,426.5,68
812,2,88.0,68
813,1,401.0,68
814,3,55.0,68
815,4,259.5,68
816,5,180.0,68
817,4,259.5,68
818,0,426.0,68
819,2,89.0,68
820,1,401.5,68
821,3,56.0,68
822,5,181.0,68
823,0,426.5,69
824,2,88.0,69
825,1,401.0,69
826,3,55.0,69
827,4,259.5,69
828,5,180.0,69
