,0,1,2
0,4,76.0,0
1,0,65.5,0
2,2,264.5,0
3,1,419.5,0
4,5,302.0,0
5,3,129.5,0
6,0,60.5,1
7,2,263.0,1
8,1,418.5,1
9,3,125.0,1
10,5,300.5,1
11,4,70.5,1
12,4,76.0,1
13,0,65.5,1
14,2,264.5,1
15,1,419.5,1
16,3,129.5,1
17,5,302.0,1
18,0,60.5,2
19,2,262.5,2
20,1,418.5,2
21,3,125.0,2
22,4,70.5,2
23,5,301.0,2
24,4,76.0,2
25,0,65.5,2
26,2,264.5,2
27,1,419.5,2
28,5,302.0,2
29,3,129.0,2
30,0,60.5,3
31,2,263.0,3
32,1,418.5,3
33,3,125.0,3
34,4,70.5,3
35,5,301.0,3
36,4,76.0,3
37,0,65.5,3
38,2,264.5,3
39,1,419.5,3
40,5,302.0,3
41,3,129.0,3
42,0,60.5,4
43,2,263.0,4
44,1,418.5,4
45,3,125.0,4
46,4,70.5,4
47,5,301.0,4
48,4,76.0,4
49,0,65.5,4
50,2,264.5,4
51,1,419.5,4
52,5,302.0,4
53,3,129.0,4
54,0,60.5,5
55,1,418.5,5
56,2,262.5,5
57,3,125.0,5
58,4,70.5,5
59,5,300.5,5
60,4,76.0,5
61,0,65.5,5
62,2,264.5,5
63,1,419.5,5
64,3,129.0,5
65,5,302.0,5
66,0,60.5,6
67,1,418.5,6
68,2,262.5,6
69,3,125.0,6
70,4,71.0,6
71,5,300.5,6
72,4,76.0,6
73,0,65.5,6
74,2,264.5,6
75,1,419.5,6
76,3,129.5,6
77,5,302.0,6
78,0,60.5,7
79,1,418.5,7
80,2,263.0,7
81,3,125.0,7
82,4,70.5,7
83,5,301.0,7
84,4,76.0,7
85,0,65.5,7
86,2,264.5,7
87,1,419.5,7
88,3,129.5,7
89,5,302.0,7
90,0,60.5,8
91,1,418.5,8
92,2,263.0,8
93,3,125.5,8
94,5,301.0,8
95,4,70.5,8
96,4,76.0,8
97,0,65.5,8
98,2,264.5,8
99,1,419.5,8
100,5,302.5,8
101,3,129.0,8
102,0,60.5,9
103,1,418.5,9
104,2,263.0,9
105,3,125.0,9
106,4,70.5,9
107,5,302.0,9
108,4,76.0,9
109,0,65.5,9
110,2,264.5,9
111,1,419.5,9
112,5,302.5,9
113,3,129.5,9
114,0,60.5,10
115,2,263.0,10
116,1,418.5,10
117,3,125.0,10
118,4,70.5,10
119,5,300.5,10
120,4,76.0,10
121,0,65.5,10
122,2,264.5,10
123,1,419.5,10
124,3,129.0,10
125,5,302.0,10
126,0,60.5,11
127,2,263.0,11
128,1,418.5,11
129,3,125.5,11
130,4,70.5,11
131,5,301.0,11
132,4,76.0,11
133,0,65.5,11
134,2,264.5,11
135,1,419.5,11
136,5,302.0,11
137,3,129.5,11
138,0,60.5,12
139,2,263.0,12
140,1,418.5,12
141,3,125.0,12
142,5,301.0,12
143,4,70.5,12
144,4,76.0,12
145,0,65.5,12
146,2,264.5,12
147,1,419.5,12
148,3,129.5,12
149,5,302.5,12
150,0,60.5,13
151,2,263.0,13
152,1,418.5,13
153,3,125.5,13
154,4,70.5,13
155,5,301.0,13
156,4,76.0,13
157,0,65.5,13
158,2,264.5,13
159,1,419.5,13
160,3,129.0,13
161,5,302.0,13
162,0,60.5,14
163,1,418.5,14
164,2,262.5,14
165,3,125.0,14
166,4,70.5,14
167,5,301.0,14
168,4,76.0,14
169,0,65.5,14
170,2,264.5,14
171,1,419.5,14
172,3,129.5,14
173,5,302.0,14
174,0,60.5,15
175,2,263.0,15
176,1,418.5,15
177,3,125.0,15
178,4,70.5,15
179,5,302.0,15
180,4,76.0,15
181,0,65.5,15
182,2,264.5,15
183,1,419.5,15
184,3,129.5,15
185,5,302.0,15
186,0,60.5,16
187,2,263.0,16
188,1,418.5,16
189,3,124.5,16
190,4,70.5,16
191,5,301.0,16
192,4,76.0,16
193,0,65.5,16
194,2,264.5,16
195,1,419.5,16
196,3,129.5,16
197,5,302.0,16
198,0,60.5,17
199,2,263.0,17
200,1,418.5,17
201,3,124.5,17
202,4,70.5,17
203,5,301.0,17
204,4,76.0,17
205,0,65.5,17
206,2,264.5,17
207,1,419.5,17
208,3,129.0,17
209,5,302.0,17
210,0,60.5,18
211,2,263.0,18
212,1,418.5,18
213,3,125.0,18
214,4,70.5,18
215,5,300.5,18
216,4,76.0,18
217,0,65.5,18
218,2,264.5,18
219,1,419.5,18
220,3,129.0,18
221,5,302.0,18
222,0,60.5,19
223,2,263.0,19
224,1,418.5,19
225,3,125.5,19
226,4,70.5,19
227,5,300.5,19
228,4,76.0,19
229,0,65.5,19
230,2,264.5,19
231,1,419.5,19
232,3,129.5,19
233,5,302.0,19
234,0,60.5,20
235,2,263.0,20
236,1,418.5,20
237,3,125.0,20
238,4,70.5,20
239,5,301.0,20
240,4,76.0,20
241,0,65.5,20
242,2,264.5,20
243,1,419.5,20
244,5,302.0,20
245,3,129.0,20
246,0,60.5,21
247,1,418.5,21
248,2,263.0,21
249,3,125.5,21
250,5,301.0,21
251,4,70.5,21
252,4,76.0,21
253,0,65.5,21
254,2,264.5,21
255,1,419.5,21
256,3,129.5,21
257,5,302.0,21
258,0,60.5,22
259,2,262.5,22
260,1,418.5,22
261,3,125.5,22
262,5,301.0,22
263,4,70.5,22
264,4,76.0,22
265,0,65.5,22
266,2,264.5,22
267,1,419.5,22
268,5,302.0,22
269,3,129.5,22
270,0,60.5,23
271,2,262.5,23
272,1,418.5,23
273,3,125.0,23
274,4,70.5,23
275,5,302.0,23
276,4,76.0,23
277,0,65.5,23
278,2,264.5,23
279,1,419.5,23
280,5,302.0,23
281,3,129.5,23
282,0,60.5,24
283,2,263.0,24
284,1,418.5,24
285,3,125.5,24
286,4,70.5,24
287,5,301.0,24
288,4,76.0,24
289,0,65.0,24
290,2,264.5,24
291,1,419.5,24
292,3,129.5,24
293,5,302.0,24
294,0,60.5,25
295,1,418.5,25
296,2,263.0,25
297,3,125.5,25
298,4,70.5,25
299,5,300.5,25
300,4,76.0,25
301,0,65.5,25
302,2,264.5,25
303,1,419.5,25
304,3,129.0,25
305,5,302.0,25
306,0,60.5,26
307,2,262.5,26
308,1,418.5,26
309,3,125.0,26
310,4,70.5,26
311,5,301.0,26
312,4,76.0,26
313,0,65.5,26
314,2,264.5,26
315,1,419.5,26
316,3,129.5,26
317,5,302.5,26
318,0,60.5,27
319,1,418.5,27
320,2,263.0,27
321,3,125.0,27
322,4,71.0,27
323,5,301.0,27
324,4,76.0,27
325,0,65.5,27
326,2,264.5,27
327,1,419.5,27
328,5,302.0,27
329,3,129.5,27
330,0,60.5,28
331,1,418.5,28
332,2,262.5,28
333,3,125.0,28
334,4,70.5,28
335,5,302.0,28
336,4,76.0,28
337,0,65.5,28
338,2,264.5,28
339,1,419.5,28
340,3,129.5,28
341,5,302.0,28
342,0,60.5,29
343,2,263.0,29
344,1,418.5,29
345,3,125.5,29
346,4,70.5,29
347,5,301.0,29
348,4,76.0,29
349,0,65.5,29
350,2,264.5,29
351,1,419.5,29
352,3,129.0,29
353,5,302.0,29
354,0,60.5,30
355,2,262.5,30
356,1,418.5,30
357,3,125.0,30
358,4,70.5,30
359,5,301.0,30
360,4,76.0,30
361,0,65.5,30
362,2,264.5,30
363,1,419.5,30
364,3,129.5,30
365,5,302.0,30
366,0,60.5,31
367,1,418.5,31
368,2,263.0,31
369,3,125.0,31
370,4,70.5,31
371,5,301.0,31
372,4,76.0,31
373,0,65.5,31
374,2,264.5,31
375,1,419.5,31
376,3,129.0,31
377,5,302.0,31
378,0,60.5,32
379,2,262.5,32
380,1,418.5,32
381,3,125.0,32
382,4,70.5,32
383,5,301.0,32
384,4,76.0,32
385,0,65.5,32
386,2,264.5,32
387,1,419.5,32
388,5,302.0,32
389,3,129.5,32
390,0,60.5,33
391,2,262.5,33
392,1,418.5,33
393,3,125.0,33
394,4,70.5,33
395,5,301.5,33
396,4,76.0,33
397,0,65.5,33
398,2,264.5,33
399,1,419.5,33
400,3,129.5,33
401,5,302.0,33
402,0,60.5,34
403,2,262.5,34
404,1,418.5,34
405,3,125.0,34
406,4,70.5,34
407,5,300.5,34
408,4,76.0,34
409,0,65.5,34
410,2,264.5,34
411,1,419.5,34
412,3,129.0,34
413,5,302.5,34
414,0,60.5,35
