,x-Cordinates [px],y-Cordinates [px],Angle [rad],Brick Colour,Brick Type,Standard Deviation x,Standard Deviation y,Standard Deviation Angle,Frame
0,501.75,105.0,1.0565262569743312,white,2x4 brick,0.25,2.0,1.104397262960076,0
1,137.25,143.25,-0.411304053393755,yellow,2x4 brick,0.25,2.75,0.3634330474080101,0
2,165.25,344.5,0.42857623928810723,white,2x4 brick,0.25,1.0,0.4764472452738521,0
3,256.5,153.5,-0.3508038582371688,white,2x2 brick,0.0,2.0,0.30293285225142397,0
4,510.25,323.0,1.0361006401458506,yellow,2x4 brick,0.25,1.0,1.0839716461315954,0
5,269.0,338.75,0.24799880637097999,white,2x2 brick,0.0,0.75,0.2958698123567248,0
6,396.5,319.0,0.2867666057701484,white,2x2 brick,0.0,1.0,0.3346376117558933,0
7,391.0,117.25,-0.04787100598574487,white,2x2 brick,0.0,2.25,0.0,0
0,501.75,105.0,1.0569670714659358,white,2x4 brick,0.25,2.2638462845343543,1.1065626329017368,1
1,137.25,143.125,-0.4112650970874829,yellow,2x4 brick,0.25,2.8804296554507283,0.36167602857835185,1
2,165.25,344.5,0.4282298304995389,white,2x4 brick,0.25,1.0,0.47782529644858496,1
3,256.5,153.625,-0.35445113501012954,white,2x2 brick,0.0,1.8833148966649205,0.3048856693470763,1
4,510.25,323.0,1.040804676212937,yellow,2x4 brick,0.25,1.0,1.0904271191930208,1
5,268.875,338.75,0.2421524998845531,white,2x2 brick,0.21650635094610965,0.75,0.2918335700990933,1
6,396.375,318.875,0.30053059940791976,white,2x2 brick,0.21650635094610965,0.8926785535678563,0.35073645507587337,1
7,391.0,117.375,-0.04959335929330688,white,2x2 brick,0.0,2.381569860407206,0.001722353307562017,1
0,501.75,105.0,1.0543168052901022,white,2x4 brick,0.25,2.345207879911715,1.1087681112807903,2
1,137.25,143.16666666666666,-0.4134396404730283,yellow,2x4 brick,0.25,2.8382310609877335,0.3590364101172604,2
2,165.33333333333334,344.5,0.4259208263902567,white,2x4 brick,0.23570226039551584,1.0,0.4803858769481029,2
3,256.5,153.66666666666666,-0.3538128456397693,white,2x2 brick,0.0,1.8408935028645437,0.29949442155596995,2
4,510.25,323.0,1.0403469859134244,yellow,2x4 brick,0.25,1.0,1.094823235037877,2
5,268.8333333333333,338.75,0.2405632872946555,white,2x2 brick,0.23570226039551584,0.75,0.295104776392392,2
6,396.4166666666667,318.8333333333333,0.2999130093972243,white,2x2 brick,0.18633899812498245,0.8498365855987975,0.3548072154283921,2
7,391.0833333333333,117.33333333333333,-0.05443915837691308,white,2x2 brick,0.18633899812498245,2.3392781412697,0.006995799081930314,2
0,501.8125,104.9375,1.0616431081431226,white,2x4 brick,0.34798527267687634,2.3242942477233814,1.1050472221802405,3
1,137.27777777777777,143.38888888888889,-0.3635397440540003,yellow,2x4 brick,0.24845199749997662,2.7159792359067367,0.36589238909488736,3
2,165.25,344.5,0.43199472647389786,white,2x4 brick,0.25,1.0,0.47551402732849113,3
3,256.5,153.6875,-0.3499103106809266,white,2x2 brick,0.0,1.818954026356906,0.30702659456513837,3
4,510.25,323.0,1.0464853177361686,yellow,2x4 brick,0.25,1.0,1.089901909237666,3
5,268.8125,338.75,0.24654850968272593,white,2x2 brick,0.24206145913796356,0.75,0.29025148294279884,3
6,396.5,318.8125,0.308493062315599,white,2x2 brick,0.25,0.8267972847076845,0.35248054673164947,3
7,391.0625,117.3125,-0.04330240055267762,white,2x2 brick,0.16535945694153692,2.3175620272173947,0.020218507069095427,3
0,501.8,104.9,1.0603774494870726,white,2x4 brick,0.33166247903553997,2.3108440016582685,1.1052293688342971,4
1,137.29166666666666,143.45833333333334,-0.3453763386484048,yellow,2x4 brick,0.2465033242958173,2.609744027464933,0.3609148864752984,4
2,165.25,344.5,0.4309593177685316,white,2x4 brick,0.25,1.0,0.4759055625983236,4
3,256.5,153.65,-0.34925366480432146,white,2x2 brick,0.0,1.8580904176062045,0.30485576522617686,4
4,510.2,323.0,1.049968273264674,yellow,2x4 brick,0.24494897427831783,1.0,1.094893691298198,4
5,268.8,338.75,0.2440806642552255,white,2x2 brick,0.24494897427831783,0.75,0.2892189409860299,4
6,396.55,318.9,0.3095704983983939,white,2x2 brick,0.26925824035672524,0.9433981132056604,0.35492531029302116,4
