,0,1,2
0,3,tensor([2.]),0
1,6,tensor([2.]),0
2,1,tensor([1.]),0
3,2,tensor([2.]),0
4,0,tensor([2.]),0
5,7,tensor([2.]),0
6,4,tensor([1.]),0
7,5,tensor([2.]),0
8,3,tensor([2.]),1
9,6,tensor([2.]),1
10,2,tensor([2.]),1
11,0,tensor([2.]),1
12,4,tensor([1.]),1
13,1,tensor([1.]),1
14,5,tensor([2.]),1
15,7,tensor([2.]),1
16,6,tensor([2.]),2
17,3,tensor([2.]),2
18,2,tensor([2.]),2
19,4,tensor([1.]),2
20,0,tensor([2.]),2
21,1,tensor([1.]),2
22,5,tensor([2.]),2
23,7,tensor([2.]),2
24,3,tensor([2.]),3
25,6,tensor([2.]),3
26,2,tensor([2.]),3
27,0,tensor([2.]),3
28,4,tensor([1.]),3
29,5,tensor([2.]),3
30,7,tensor([2.]),3
31,1,tensor([1.]),3
32,1,tensor([2.]),3
33,6,tensor([2.]),4
34,3,tensor([2.]),4
35,2,tensor([2.]),4
36,0,tensor([2.]),4
37,5,tensor([2.]),4
38,7,tensor([2.]),4
39,4,tensor([1.]),4
40,1,tensor([1.]),4
41,1,tensor([2.]),4
42,6,tensor([2.]),5
43,3,tensor([2.]),5
44,0,tensor([2.]),5
45,2,tensor([2.]),5
46,5,tensor([2.]),5
47,7,tensor([2.]),5
48,4,tensor([1.]),5
49,1,tensor([1.]),5
50,1,tensor([2.]),5
51,6,tensor([2.]),6
52,3,tensor([2.]),6
53,2,tensor([2.]),6
54,0,tensor([2.]),6
55,5,tensor([2.]),6
56,7,tensor([2.]),6
57,1,tensor([2.]),6
58,4,tensor([1.]),6
59,1,tensor([1.]),6
60,6,tensor([2.]),7
61,3,tensor([2.]),7
62,2,tensor([2.]),7
63,0,tensor([2.]),7
64,5,tensor([2.]),7
65,7,tensor([2.]),7
66,1,tensor([2.]),7
67,4,tensor([1.]),7
68,1,tensor([1.]),7
69,6,tensor([2.]),8
70,3,tensor([2.]),8
71,0,tensor([2.]),8
72,2,tensor([2.]),8
73,5,tensor([2.]),8
74,7,tensor([2.]),8
75,1,tensor([2.]),8
76,4,tensor([1.]),8
77,1,tensor([1.]),8
78,6,tensor([2.]),9
79,3,tensor([2.]),9
80,2,tensor([2.]),9
81,5,tensor([2.]),9
82,0,tensor([2.]),9
83,7,tensor([2.]),9
84,1,tensor([2.]),9
85,4,tensor([1.]),9
86,1,tensor([1.]),9
87,6,tensor([2.]),10
88,3,tensor([2.]),10
89,0,tensor([2.]),10
90,2,tensor([2.]),10
91,5,tensor([2.]),10
92,7,tensor([2.]),10
93,1,tensor([2.]),10
94,4,tensor([1.]),10
95,6,tensor([2.]),11
96,3,tensor([2.]),11
97,2,tensor([2.]),11
98,5,tensor([2.]),11
99,0,tensor([2.]),11
100,7,tensor([2.]),11
101,1,tensor([2.]),11
102,4,tensor([1.]),11
103,1,tensor([1.]),11
104,6,tensor([2.]),12
105,3,tensor([2.]),12
106,0,tensor([2.]),12
107,5,tensor([2.]),12
108,2,tensor([2.]),12
109,7,tensor([2.]),12
110,1,tensor([2.]),12
111,1,tensor([1.]),12
112,4,tensor([1.]),12
113,6,tensor([2.]),13
114,3,tensor([2.]),13
115,2,tensor([2.]),13
116,0,tensor([2.]),13
117,5,tensor([2.]),13
118,7,tensor([2.]),13
119,1,tensor([2.]),13
120,1,tensor([1.]),13
121,4,tensor([1.]),13
122,4,tensor([2.]),13
123,6,tensor([2.]),14
124,3,tensor([2.]),14
125,2,tensor([2.]),14
126,5,tensor([2.]),14
127,0,tensor([2.]),14
128,7,tensor([2.]),14
129,1,tensor([2.]),14
130,4,tensor([1.]),14
131,6,tensor([2.]),15
132,3,tensor([2.]),15
133,2,tensor([2.]),15
134,0,tensor([2.]),15
135,5,tensor([2.]),15
136,7,tensor([2.]),15
137,1,tensor([2.]),15
138,4,tensor([1.]),15
139,4,tensor([2.]),15
140,6,tensor([2.]),16
141,3,tensor([2.]),16
142,2,tensor([2.]),16
143,0,tensor([2.]),16
144,5,tensor([2.]),16
145,7,tensor([2.]),16
146,1,tensor([2.]),16
147,4,tensor([1.]),16
148,6,tensor([2.]),17
149,3,tensor([2.]),17
150,5,tensor([2.]),17
151,2,tensor([2.]),17
152,0,tensor([2.]),17
153,7,tensor([2.]),17
154,1,tensor([2.]),17
155,4,tensor([1.]),17
156,6,tensor([2.]),18
157,3,tensor([2.]),18
158,0,tensor([2.]),18
159,2,tensor([2.]),18
160,5,tensor([2.]),18
161,7,tensor([2.]),18
162,1,tensor([2.]),18
163,4,tensor([1.]),18
164,1,tensor([1.]),18
165,6,tensor([2.]),19
166,3,tensor([2.]),19
167,0,tensor([2.]),19
168,2,tensor([2.]),19
169,5,tensor([2.]),19
170,7,tensor([2.]),19
171,1,tensor([2.]),19
172,4,tensor([1.]),19
173,1,tensor([1.]),19
174,6,tensor([2.]),20
175,3,tensor([2.]),20
176,2,tensor([2.]),20
177,5,tensor([2.]),20
178,0,tensor([2.]),20
179,7,tensor([2.]),20
180,4,tensor([1.]),20
181,1,tensor([2.]),20
182,1,tensor([1.]),20
183,6,tensor([2.]),21
184,3,tensor([2.]),21
185,2,tensor([2.]),21
186,5,tensor([2.]),21
187,0,tensor([2.]),21
188,7,tensor([2.]),21
189,1,tensor([1.]),21
190,4,tensor([1.]),21
191,1,tensor([2.]),21
192,6,tensor([2.]),22
193,3,tensor([2.]),22
194,2,tensor([2.]),22
195,0,tensor([2.]),22
196,5,tensor([2.]),22
197,4,tensor([1.]),22
198,1,tensor([1.]),22
199,7,tensor([2.]),22
200,1,tensor([2.]),22
201,3,tensor([2.]),23
202,6,tensor([2.]),23
203,0,tensor([2.]),23
204,2,tensor([2.]),23
205,4,tensor([1.]),23
206,1,tensor([1.]),23
207,5,tensor([2.]),23
208,7,tensor([2.]),23
209,3,tensor([2.]),24
210,6,tensor([2.]),24
211,2,tensor([2.]),24
212,0,tensor([2.]),24
213,4,tensor([1.]),24
214,1,tensor([1.]),24
215,7,tensor([2.]),24
216,5,tensor([2.]),24
217,3,tensor([2.]),25
218,6,tensor([2.]),25
219,2,tensor([2.]),25
220,0,tensor([2.]),25
221,1,tensor([1.]),25
222,4,tensor([1.]),25
223,7,tensor([2.]),25
224,5,tensor([2.]),25
225,3,tensor([2.]),26
226,6,tensor([2.]),26
227,2,tensor([2.]),26
228,0,tensor([2.]),26
229,1,tensor([1.]),26
230,4,tensor([1.]),26
231,5,tensor([2.]),26
232,7,tensor([2.]),26
233,3,tensor([2.]),27
234,6,tensor([2.]),27
235,2,tensor([2.]),27
236,4,tensor([1.]),27
237,1,tensor([1.]),27
238,0,tensor([2.]),27
239,7,tensor([2.]),27
240,5,tensor([2.]),27
241,6,tensor([2.]),28
242,3,tensor([2.]),28
243,0,tensor([2.]),28
244,2,tensor([2.]),28
245,1,tensor([1.]),28
246,4,tensor([1.]),28
247,7,tensor([2.]),28
248,5,tensor([2.]),28
249,3,tensor([2.]),29
250,6,tensor([2.]),29
251,2,tensor([2.]),29
252,0,tensor([2.]),29
253,4,tensor([1.]),29
254,1,tensor([1.]),29
255,5,tensor([2.]),29
256,7,tensor([2.]),29
257,3,tensor([2.]),30
258,6,tensor([2.]),30
259,2,tensor([2.]),30
260,0,tensor([2.]),30
261,4,tensor([1.]),30
262,1,tensor([1.]),30
263,7,tensor([2.]),30
264,5,tensor([2.]),30
265,3,tensor([2.]),31
266,6,tensor([2.]),31
267,2,tensor([2.]),31
268,0,tensor([2.]),31
269,1,tensor([1.]),31
270,4,tensor([1.]),31
271,5,tensor([2.]),31
272,7,tensor([2.]),31
273,3,tensor([2.]),32
274,6,tensor([2.]),32
275,2,tensor([2.]),32
276,0,tensor([2.]),32
277,1,tensor([1.]),32
278,4,tensor([1.]),32
279,5,tensor([2.]),32
280,7,tensor([2.]),32
281,6,tensor([2.]),33
282,3,tensor([2.]),33
283,2,tensor([2.]),33
284,0,tensor([2.]),33
285,1,tensor([1.]),33
286,4,tensor([1.]),33
287,7,tensor([2.]),33
288,5,tensor([2.]),33
289,3,tensor([2.]),34
290,6,tensor([2.]),34
291,2,tensor([2.]),34
292,0,tensor([2.]),34
293,5,tensor([2.]),34
294,4,tensor([1.]),34
295,1,tensor([1.]),34
296,7,tensor([2.]),34
297,1,tensor([2.]),34
298,3,tensor([2.]),35
299,6,tensor([2.]),35
300,2,tensor([2.]),35
301,0,tensor([2.]),35
302,5,tensor([2.]),35
303,7,tensor([2.]),35
304,4,tensor([1.]),35
305,1,tensor([1.]),35
306,1,tensor([2.]),35
307,6,tensor([2.]),36
308,3,tensor([2.]),36
309,2,tensor([2.]),36
310,0,tensor([2.]),36
311,5,tensor([2.]),36
312,7,tensor([2.]),36
313,1,tensor([1.]),36
314,4,tensor([1.]),36
315,1,tensor([2.]),36
316,6,tensor([2.]),37
317,3,tensor([2.]),37
318,2,tensor([2.]),37
319,0,tensor([2.]),37
320,1,tensor([1.]),37
321,4,tensor([1.]),37
322,5,tensor([2.]),37
