,0,1,2
0,1,tensor([0.]),1
1,0,tensor([0.]),1
2,2,tensor([0.]),1
3,3,tensor([2.]),1
4,4,tensor([0.]),1
5,6,tensor([2.]),1
6,5,tensor([2.]),1
7,7,tensor([2.]),1
8,1,tensor([0.]),2
9,0,tensor([0.]),2
10,2,tensor([0.]),2
11,3,tensor([2.]),2
12,6,tensor([2.]),2
13,4,tensor([0.]),2
14,5,tensor([2.]),2
15,7,tensor([2.]),2
16,0,tensor([0.]),3
17,1,tensor([0.]),3
18,2,tensor([0.]),3
19,3,tensor([2.]),3
20,4,tensor([0.]),3
21,6,tensor([2.]),3
22,5,tensor([2.]),3
23,7,tensor([2.]),3
24,1,tensor([0.]),4
25,0,tensor([0.]),4
26,2,tensor([0.]),4
27,3,tensor([2.]),4
28,6,tensor([2.]),4
29,4,tensor([0.]),4
30,5,tensor([2.]),4
31,7,tensor([2.]),4
32,0,tensor([0.]),5
33,1,tensor([0.]),5
34,2,tensor([0.]),5
35,3,tensor([2.]),5
36,6,tensor([2.]),5
37,4,tensor([0.]),5
38,5,tensor([2.]),5
39,7,tensor([2.]),5
40,1,tensor([0.]),6
41,0,tensor([0.]),6
42,2,tensor([0.]),6
43,3,tensor([2.]),6
44,4,tensor([0.]),6
45,6,tensor([2.]),6
46,5,tensor([2.]),6
47,7,tensor([2.]),6
48,1,tensor([0.]),7
49,0,tensor([0.]),7
50,2,tensor([0.]),7
51,3,tensor([2.]),7
52,4,tensor([0.]),7
53,6,tensor([2.]),7
54,5,tensor([2.]),7
55,7,tensor([2.]),7
56,1,tensor([0.]),8
57,0,tensor([0.]),8
58,2,tensor([0.]),8
59,3,tensor([2.]),8
60,4,tensor([0.]),8
61,6,tensor([2.]),8
62,5,tensor([2.]),8
63,7,tensor([2.]),8
64,1,tensor([0.]),9
65,0,tensor([0.]),9
66,2,tensor([0.]),9
67,3,tensor([2.]),9
68,4,tensor([0.]),9
69,6,tensor([2.]),9
70,5,tensor([2.]),9
71,7,tensor([2.]),9
72,1,tensor([0.]),10
73,0,tensor([0.]),10
74,2,tensor([0.]),10
75,3,tensor([2.]),10
76,6,tensor([2.]),10
77,4,tensor([0.]),10
78,5,tensor([2.]),10
79,7,tensor([2.]),10
80,1,tensor([0.]),11
81,0,tensor([0.]),11
82,2,tensor([0.]),11
83,3,tensor([2.]),11
84,4,tensor([0.]),11
85,6,tensor([2.]),11
86,5,tensor([2.]),11
87,7,tensor([2.]),11
88,1,tensor([0.]),12
89,0,tensor([0.]),12
90,2,tensor([0.]),12
91,3,tensor([2.]),12
92,6,tensor([2.]),12
93,4,tensor([0.]),12
94,5,tensor([2.]),12
95,7,tensor([2.]),12
96,1,tensor([0.]),13
97,0,tensor([0.]),13
98,2,tensor([0.]),13
99,3,tensor([2.]),13
100,4,tensor([0.]),13
101,6,tensor([2.]),13
102,5,tensor([2.]),13
103,7,tensor([2.]),13
104,1,tensor([0.]),14
105,0,tensor([0.]),14
106,3,tensor([2.]),14
107,2,tensor([0.]),14
108,6,tensor([2.]),14
109,4,tensor([0.]),14
110,5,tensor([2.]),14
111,7,tensor([2.]),14
112,1,tensor([0.]),15
113,0,tensor([0.]),15
114,2,tensor([0.]),15
115,3,tensor([2.]),15
116,6,tensor([2.]),15
117,4,tensor([0.]),15
118,5,tensor([2.]),15
119,7,tensor([2.]),15
120,0,tensor([0.]),16
121,1,tensor([0.]),16
122,2,tensor([0.]),16
123,3,tensor([2.]),16
124,6,tensor([2.]),16
125,4,tensor([0.]),16
126,5,tensor([2.]),16
127,7,tensor([2.]),16
128,1,tensor([0.]),17
129,0,tensor([0.]),17
130,2,tensor([0.]),17
131,3,tensor([2.]),17
132,4,tensor([0.]),17
133,6,tensor([2.]),17
134,5,tensor([2.]),17
135,7,tensor([2.]),17
136,1,tensor([0.]),18
137,0,tensor([0.]),18
138,2,tensor([0.]),18
139,3,tensor([2.]),18
140,6,tensor([2.]),18
141,4,tensor([0.]),18
142,5,tensor([2.]),18
143,7,tensor([2.]),18
144,1,tensor([0.]),19
145,0,tensor([0.]),19
146,2,tensor([0.]),19
147,3,tensor([2.]),19
148,6,tensor([2.]),19
149,4,tensor([0.]),19
150,5,tensor([2.]),19
151,7,tensor([2.]),19
152,1,tensor([0.]),20
153,0,tensor([0.]),20
154,2,tensor([0.]),20
155,3,tensor([2.]),20
156,6,tensor([2.]),20
157,4,tensor([0.]),20
158,5,tensor([2.]),20
159,7,tensor([2.]),20
160,1,tensor([0.]),21
161,0,tensor([0.]),21
162,2,tensor([0.]),21
163,3,tensor([2.]),21
164,6,tensor([2.]),21
165,4,tensor([0.]),21
166,5,tensor([2.]),21
167,7,tensor([2.]),21
168,1,tensor([0.]),22
169,0,tensor([0.]),22
170,2,tensor([0.]),22
171,3,tensor([2.]),22
172,4,tensor([0.]),22
173,6,tensor([2.]),22
174,5,tensor([2.]),22
175,7,tensor([2.]),22
176,1,tensor([0.]),23
177,0,tensor([0.]),23
178,2,tensor([0.]),23
179,3,tensor([2.]),23
180,6,tensor([2.]),23
181,4,tensor([0.]),23
182,5,tensor([2.]),23
183,7,tensor([2.]),23
184,1,tensor([0.]),24
185,0,tensor([0.]),24
186,2,tensor([0.]),24
187,3,tensor([2.]),24
188,4,tensor([0.]),24
189,6,tensor([2.]),24
190,5,tensor([2.]),24
191,7,tensor([2.]),24
192,1,tensor([0.]),25
193,0,tensor([0.]),25
194,2,tensor([0.]),25
195,3,tensor([2.]),25
196,6,tensor([2.]),25
197,4,tensor([0.]),25
198,5,tensor([2.]),25
199,7,tensor([2.]),25
200,1,tensor([0.]),26
201,0,tensor([0.]),26
202,2,tensor([0.]),26
