,0,1,2
0,3,256.5,0
1,6,396.5,0
2,1,137.5,0
3,2,165.5,0
4,0,501.5,0
5,7,391.0,0
6,4,510.0,0
7,5,269.0,0
8,1,137.0,1
9,0,502.0,1
10,2,165.0,1
11,3,256.5,1
12,4,510.5,1
13,6,396.0,1
14,5,268.5,1
15,7,391.0,1
16,3,256.5,1
17,6,396.5,1
18,2,165.5,1
19,0,501.5,1
20,4,510.0,1
21,1,137.5,1
22,5,269.0,1
23,7,391.0,1
24,1,137.0,2
25,0,502.0,2
26,2,165.5,2
27,3,256.5,2
28,6,396.5,2
29,4,510.5,2
30,5,268.5,2
31,7,391.0,2
32,6,396.5,2
33,3,256.5,2
34,2,165.5,2
35,4,510.0,2
36,0,501.5,2
37,1,137.5,2
38,5,269.0,2
39,7,391.5,2
40,0,502.5,3
41,1,137.0,3
42,2,165.0,3
43,3,256.5,3
44,4,510.5,3
45,6,396.5,3
46,5,268.5,3
47,7,391.0,3
48,3,256.5,3
49,6,397.0,3
50,2,165.0,3
51,0,501.5,3
52,4,510.0,3
53,5,269.0,3
54,7,391.0,3
55,1,137.5,3
56,1,137.5,3
57,1,137.0,4
58,0,502.0,4
59,2,165.0,4
60,3,256.5,4
61,6,396.5,4
62,4,510.0,4
63,5,268.5,4
64,7,391.0,4
65,6,397.0,4
66,3,256.5,4
67,2,165.5,4
68,0,501.5,4
69,5,269.0,4
70,7,391.5,4
71,4,510.0,4
72,1,137.5,4
73,1,137.5,4
74,0,502.0,5
75,1,137.0,5
76,2,165.0,5
77,3,256.5,5
78,6,396.5,5
79,4,510.5,5
80,5,268.5,5
81,7,391.0,5
82,6,396.5,5
83,3,256.5,5
84,0,501.5,5
85,2,165.5,5
86,5,269.0,5
87,7,391.0,5
88,4,510.0,5
89,1,137.5,5
90,1,137.5,5
91,1,137.0,6
92,0,502.0,6
93,2,165.0,6
94,3,256.5,6
95,4,510.5,6
96,6,396.5,6
97,5,268.5,6
98,7,391.0,6
99,6,397.0,6
100,3,256.5,6
101,2,165.0,6
102,0,501.5,6
103,5,269.0,6
104,7,391.5,6
105,1,137.5,6
106,4,510.0,6
107,1,137.5,6
108,1,137.0,7
109,0,502.0,7
110,2,164.5,7
111,3,256.5,7
112,4,510.5,7
113,6,396.5,7
114,5,268.5,7
115,7,391.0,7
116,6,396.5,7
117,3,256.5,7
118,2,165.5,7
119,0,501.5,7
120,5,269.0,7
121,7,391.5,7
122,1,137.5,7
123,4,510.0,7
124,1,137.5,7
125,1,137.0,8
126,0,502.5,8
127,2,165.0,8
128,3,256.5,8
129,4,510.5,8
130,6,396.5,8
131,5,268.5,8
132,7,391.0,8
133,6,396.5,8
134,3,256.5,8
135,0,501.5,8
136,2,165.5,8
137,5,269.0,8
138,7,391.5,8
139,1,137.5,8
140,4,510.0,8
141,1,137.5,8
142,1,137.0,9
143,0,502.0,9
144,2,165.5,9
145,3,256.5,9
146,4,510.5,9
147,6,396.5,9
148,5,269.0,9
149,7,391.0,9
150,6,397.0,9
151,3,257.0,9
152,2,165.5,9
153,5,269.0,9
154,0,501.5,9
155,7,391.5,9
156,1,137.5,9
157,4,510.0,9
158,1,137.5,9
159,1,137.0,10
160,0,502.5,10
161,2,165.0,10
162,3,256.5,10
163,6,396.5,10
164,4,510.5,10
165,5,268.5,10
166,7,391.0,10
167,6,396.5,10
168,3,256.5,10
169,0,501.5,10
170,2,165.0,10
171,5,269.0,10
172,7,391.5,10
173,1,137.5,10
174,4,510.0,10
175,1,137.0,11
176,0,502.0,11
177,2,165.0,11
178,3,256.5,11
179,4,510.5,11
180,6,396.5,11
