,0,1,2
0,3,155.5,0
1,6,320.0,0
2,1,146.0,0
3,2,345.5,0
4,0,107.0,0
5,7,119.5,0
6,4,324.0,0
7,5,339.5,0
8,1,140.0,1
9,0,102.5,1
10,2,343.5,1
11,3,152.0,1
12,4,322.0,1
13,6,318.0,1
14,5,338.0,1
15,7,115.0,1
16,3,155.5,1
17,6,319.5,1
18,2,345.5,1
19,0,107.5,1
20,4,324.0,1
21,1,146.0,1
22,5,339.5,1
23,7,120.0,1
24,1,140.5,2
25,0,102.5,2
26,2,343.5,2
27,3,152.0,2
28,6,318.0,2
29,4,322.0,2
30,5,338.0,2
31,7,115.0,2
32,6,319.5,2
33,3,155.5,2
34,2,345.5,2
35,4,324.0,2
36,0,107.5,2
37,1,146.0,2
38,5,339.5,2
39,7,119.5,2
40,0,102.5,3
41,1,140.5,3
42,2,343.5,3
43,3,152.0,3
44,4,322.0,3
45,6,318.0,3
46,5,338.0,3
47,7,115.0,3
48,3,155.5,3
49,6,319.5,3
50,2,345.5,3
51,0,107.0,3
52,4,324.0,3
53,5,339.5,3
54,7,119.5,3
55,1,146.0,3
56,1,145.0,3
57,1,140.5,4
58,0,102.5,4
59,2,343.5,4
60,3,151.5,4
61,6,318.0,4
62,4,322.0,4
63,5,338.0,4
64,7,115.0,4
65,6,320.5,4
66,3,155.5,4
67,2,345.5,4
68,0,107.0,4
69,5,339.5,4
70,7,119.5,4
71,4,324.0,4
72,1,145.5,4
73,1,145.0,4
74,0,102.5,5
75,1,140.5,5
76,2,343.5,5
77,3,152.0,5
78,6,318.0,5
79,4,322.0,5
80,5,338.0,5
81,7,115.0,5
82,6,320.0,5
83,3,155.5,5
84,0,107.5,5
85,2,345.5,5
86,5,339.5,5
87,7,119.5,5
88,4,324.0,5
89,1,146.0,5
90,1,145.0,5
91,1,140.0,6
92,0,103.0,6
93,2,343.5,6
94,3,151.5,6
95,4,322.0,6
96,6,318.0,6
97,5,338.0,6
98,7,115.0,6
99,6,319.5,6
100,3,155.5,6
101,2,345.5,6
102,0,107.5,6
103,5,339.5,6
104,7,119.5,6
105,1,145.0,6
106,4,324.5,6
107,1,145.5,6
108,1,140.5,7
109,0,103.0,7
110,2,343.5,7
111,3,151.5,7
112,4,322.0,7
113,6,318.0,7
114,5,338.0,7
115,7,115.0,7
116,6,319.5,7
117,3,155.5,7
118,2,345.5,7
119,0,107.0,7
120,5,339.5,7
121,7,119.5,7
122,1,145.0,7
123,4,324.0,7
124,1,145.5,7
125,1,140.5,8
126,0,102.5,8
127,2,343.5,8
128,3,151.5,8
129,4,322.0,8
130,6,318.0,8
131,5,338.0,8
132,7,115.0,8
133,6,319.5,8
134,3,155.5,8
135,0,107.0,8
136,2,345.5,8
137,5,339.5,8
138,7,119.5,8
139,1,145.0,8
140,4,324.0,8
141,1,146.0,8
142,1,140.5,9
143,0,102.5,9
144,2,343.5,9
145,3,151.5,9
146,4,322.0,9
147,6,318.0,9
148,5,338.0,9
149,7,115.0,9
150,6,320.0,9
151,3,155.5,9
152,2,345.5,9
153,5,339.5,9
154,0,107.5,9
155,7,119.5,9
156,1,145.0,9
157,4,324.5,9
158,1,145.5,9
159,1,140.5,10
160,0,102.5,10
161,2,343.5,10
162,3,151.5,10
163,6,318.0,10
164,4,322.0,10
165,5,338.0,10
166,7,115.0,10
167,6,320.0,10
168,3,155.5,10
169,0,107.5,10
170,2,345.5,10
171,5,339.5,10
172,7,119.5,10
173,1,145.0,10
174,4,324.5,10
175,1,140.5,11
176,0,102.5,11
177,2,343.5,11
178,3,151.5,11
179,4,322.0,11
180,6,318.0,11
181,5,338.0,11
182,7,115.0,11
183,6,319.5,11
184,3,155.5,11
185,2,345.5,11
186,5,339.5,11
187,0,107.5,11
188,7,119.5,11
189,1,145.0,11
190,4,324.0,11
191,1,146.0,11
192,1,140.5,12
193,0,102.5,12
194,2,343.5,12
195,3,151.5,12
196,6,318.0,12
197,4,322.0,12
198,5,338.0,12
199,7,115.0,12
200,6,320.0,12
201,3,155.5,12
202,0,107.0,12
203,5,339.5,12
204,2,345.5,12
205,7,120.0,12
206,1,145.0,12
207,1,146.0,12
208,4,324.0,12
209,1,140.5,13
210,0,102.5,13
211,2,343.5,13
212,3,151.5,13
213,4,322.0,13
214,6,318.0,13
215,5,338.0,13
216,7,115.0,13
217,6,320.0,13
218,3,155.5,13
219,2,345.5,13
220,0,107.0,13
221,5,339.5,13
222,7,119.5,13
223,1,145.0,13
224,1,145.5,13
225,4,324.5,13
226,4,323.5,13
227,1,140.5,14
228,0,102.5,14
229,3,152.0,14
230,2,343.5,14
231,6,318.0,14
232,4,322.0,14
233,5,338.0,14
234,7,115.0,14
235,6,320.0,14
236,3,156.0,14
237,2,345.5,14
238,5,339.5,14
239,0,107.0,14
240,7,119.5,14
241,1,145.0,14
242,4,324.0,14
243,1,140.5,15
244,0,102.5,15
245,2,343.5,15
246,3,152.0,15
247,6,318.0,15
248,4,322.0,15
249,5,338.0,15
250,7,115.0,15
251,6,320.0,15
252,3,155.5,15
253,2,345.5,15
254,0,107.0,15
255,5,339.5,15
256,7,119.5,15
257,1,145.0,15
258,4,324.5,15
259,4,323.5,15
260,0,102.5,16
261,1,140.5,16
262,2,343.5,16
263,3,152.0,16
264,6,318.0,16
265,4,322.0,16
266,5,338.0,16
267,7,115.0,16
268,6,320.0,16
269,3,155.5,16
270,2,345.5,16
271,0,107.0,16
272,5,339.5,16
273,7,119.5,16
274,1,145.0,16
275,4,324.0,16
276,1,140.5,17
277,0,102.5,17
278,2,343.5,17
279,3,152.0,17
280,4,322.0,17
281,6,318.0,17
282,5,338.0,17
283,7,115.0,17
284,6,320.0,17
285,3,155.5,17
286,5,339.5,17
287,2,345.5,17
288,0,107.5,17
289,7,119.5,17
290,1,145.0,17
291,4,324.5,17
292,1,140.0,18
293,0,102.5,18
294,2,343.5,18
295,3,151.5,18
296,6,318.0,18
297,4,322.0,18
298,5,338.0,18
299,7,115.0,18
300,6,319.5,18
301,3,155.5,18
302,0,107.0,18
303,2,345.5,18
304,5,339.5,18
305,7,119.5,18
306,1,145.0,18
307,4,324.0,18
308,1,146.0,18
309,1,140.0,19
310,0,102.5,19
311,2,343.5,19
312,3,152.0,19
313,6,318.0,19
314,4,322.0,19
315,5,338.0,19
316,7,115.0,19
317,6,320.0,19
318,3,155.5,19
319,0,107.0,19
320,2,345.5,19
321,5,339.5,19
322,7,120.0,19
323,1,145.0,19
324,4,324.0,19
325,1,146.0,19
326,1,140.0,20
327,0,102.5,20
328,2,343.5,20
329,3,151.5,20
330,6,318.0,20
331,4,322.0,20
332,5,338.0,20
333,7,115.0,20
334,6,320.0,20
335,3,155.5,20
336,2,345.5,20
337,5,339.5,20
338,0,107.5,20
339,7,119.5,20
340,4,324.0,20
341,1,145.0,20
342,1,146.0,20
343,1,140.5,21
344,0,102.5,21
345,2,343.5,21
346,3,152.0,21
347,6,318.0,21
348,4,322.0,21
349,5,338.0,21
350,7,115.0,21
351,6,319.5,21
352,3,155.5,21
353,2,345.5,21
354,5,339.5,21
355,0,107.0,21
356,7,119.5,21
357,1,145.5,21
358,4,324.0,21
359,1,145.0,21
360,1,140.5,22
361,0,102.5,22
362,2,343.5,22
363,3,151.5,22
364,4,322.0,22
365,6,318.0,22
366,5,338.0,22
367,7,115.0,22
368,6,320.5,22
369,3,155.5,22
370,2,345.5,22
371,0,107.0,22
372,5,339.5,22
373,4,324.0,22
374,1,146.0,22
375,7,119.5,22
376,1,145.0,22
377,1,140.0,23
378,0,102.5,23
379,2,343.5,23
380,3,151.5,23
381,6,318.0,23
382,4,322.0,23
383,5,338.0,23
384,7,115.0,23
385,3,155.5,23
