0,1,2,3,4,5,6,7,8
88.0,40.0,0.0,1,3,3022,23,0,0
88.0,88.0,0.0,1,4,3022,23,0,0
96.0,40.0,3.2,0,7,3022,21,0,0
96.0,88.0,3.2,0,8,3022,21,0,0
56.0,24.0,6.4,1,0,3001,23,0,0
88.0,24.0,6.4,1,2,3003,23,2,2
56.0,40.0,6.4,1,23,3001,21,6,1
96.0,40.0,6.4,0,24,3022,21,7,1
40.0,56.0,6.4,1,19,3001,21,7,3
72.0,56.0,6.4,1,21,3001,21,8,3
112.0,56.0,6.4,0,5,3001,23,1,1
40.0,72.0,6.4,1,25,3001,21,7,3
72.0,72.0,6.4,1,22,3001,21,9,2
56.0,88.0,6.4,1,27,3001,21,6,1
96.0,88.0,6.4,0,26,3022,21,7,1
56.0,104.0,6.4,1,1,3001,23,7,3
104.0,104.0,6.4,1,6,3003,23,0,2
112.0,56.0,9.600000000000001,0,13,3020,23,0,0
112.0,56.0,12.8,0,47,3020,21,0,0
56.0,24.0,16.0,1,165,3001,23,0,0
88.0,24.0,16.0,1,12,3003,23,1,3
48.0,40.0,16.0,0,40,3001,21,0,0
64.0,40.0,16.0,0,41,3001,21,8,3
80.0,40.0,16.0,0,44,3001,21,8,3
96.0,40.0,16.0,0,51,3001,21,9,2
112.0,56.0,16.0,0,49,3020,21,1,1
48.0,72.0,16.0,0,46,3001,21,7,3
64.0,72.0,16.0,0,42,3001,21,8,3
80.0,72.0,16.0,0,45,3001,21,8,3
96.0,72.0,16.0,0,52,3001,21,9,3
56.0,104.0,16.0,1,53,3001,21,7,3
104.0,104.0,16.0,1,15,3003,23,0,0
88.0,24.0,19.200000000000003,1,18,3022,23,0,0
88.0,24.0,22.400000000000002,1,29,3022,23,0,0
56.0,24.0,25.6,1,76,3001,21,5,2
96.0,24.0,25.6,0,80,3022,21,0,0
48.0,40.0,25.6,0,77,3003,21,7,3
56.0,40.0,25.6,1,66,3001,21,8,3
88.0,40.0,25.6,1,70,3001,21,8,3
24.0,56.0,25.6,1,60,3001,21,7,3
56.0,56.0,25.6,1,67,3001,21,8,3
88.0,56.0,25.6,1,71,3001,21,8,3
24.0,72.0,25.6,1,61,3001,21,7,3
56.0,72.0,25.6,1,68,3001,21,8,3
88.0,72.0,25.6,1,73,3001,21,8,3
24.0,88.0,25.6,1,62,3001,21,7,3
56.0,88.0,25.6,1,69,3001,21,8,3
88.0,88.0,25.6,1,74,3001,21,8,3
40.0,104.0,25.6,1,65,3001,21,7,3
72.0,104.0,25.6,1,72,3001,21,8,3
104.0,104.0,25.6,1,28,3003,23,8,3
64.0,24.0,35.2,0,111,3003,21,0,0
80.0,24.0,35.2,0,100,3001,21,1,3
96.0,24.0,35.2,0,103,3001,21,1,3
40.0,40.0,35.2,1,108,3001,21,6,3
112.0,40.0,35.2,0,106,3001,21,1,3
32.0,56.0,35.2,0,92,3003,21,7,3
48.0,56.0,35.2,0,95,3001,21,8,3
64.0,56.0,35.2,0,98,3001,21,8,3
80.0,56.0,35.2,0,101,3001,21,8,3
96.0,56.0,35.2,0,104,3001,21,9,3
32.0,72.0,35.2,0,93,3001,21,6,3
112.0,72.0,35.2,0,107,3001,21,8,3
48.0,88.0,35.2,0,96,3001,21,8,3
64.0,88.0,35.2,0,99,3001,21,8,3
80.0,88.0,35.2,0,102,3001,21,8,3
96.0,88.0,35.2,0,105,3001,21,9,3
104.0,104.0,35.2,1,32,3003,23,8,3
40.0,24.0,44.800000000000004,1,139,3001,21,0,0
72.0,24.0,44.800000000000004,1,146,3001,21,1,3
24.0,40.0,44.800000000000004,1,125,3001,21,7,3
56.0,40.0,44.800000000000004,1,131,3001,21,8,3
88.0,40.0,44.800000000000004,1,110,3001,21,8,3
24.0,56.0,44.800000000000004,1,126,3001,21,7,3
56.0,56.0,44.800000000000004,1,132,3001,21,8,3
88.0,56.0,44.800000000000004,1,112,3001,21,8,3
24.0,72.0,44.800000000000004,1,127,3001,21,7,3
56.0,72.0,44.800000000000004,1,133,3001,21,8,3
88.0,72.0,44.800000000000004,1,113,3001,21,8,3
24.0,88.0,44.800000000000004,1,128,3001,21,7,3
56.0,88.0,44.800000000000004,1,134,3001,21,8,3
88.0,88.0,44.800000000000004,1,114,3001,21,8,3
40.0,104.0,44.800000000000004,1,130,3001,21,7,3
72.0,104.0,44.800000000000004,1,136,3001,21,8,3
112.0,104.0,44.800000000000004,0,115,3003,21,7,3
48.0,24.0,54.400000000000006,0,118,3001,21,0,0
64.0,24.0,54.400000000000006,0,121,3001,21,1,3
80.0,24.0,54.400000000000006,0,124,3001,21,1,3
96.0,24.0,54.400000000000006,0,137,3001,21,1,3
32.0,40.0,54.400000000000006,0,116,3001,21,5,3
112.0,40.0,54.400000000000006,0,141,3001,21,1,3
48.0,56.0,54.400000000000006,0,119,3001,21,8,3
64.0,56.0,54.400000000000006,0,122,3001,21,8,3
80.0,56.0,54.400000000000006,0,129,3001,21,8,3
96.0,56.0,54.400000000000006,0,138,3001,21,9,3
32.0,72.0,54.400000000000006,0,117,3001,21,6,3
112.0,72.0,54.400000000000006,0,142,3001,21,8,3
48.0,88.0,54.400000000000006,0,120,3001,21,8,3
64.0,88.0,54.400000000000006,0,123,3001,21,8,3
80.0,88.0,54.400000000000006,0,135,3001,21,8,3
96.0,88.0,54.400000000000006,0,140,3001,21,9,3
112.0,104.0,54.400000000000006,0,143,3003,21,7,3
48.0,24.0,57.6,0,145,3022,21,0,0
32.0,40.0,57.6,0,144,3022,21,0,0
112.0,104.0,57.6,0,85,3022,21,0,0
48.0,24.0,60.800000000000004,0,152,3022,21,0,0
32.0,40.0,60.800000000000004,0,151,3022,21,0,0
112.0,104.0,60.800000000000004,0,86,3022,21,0,0
64.0,24.0,64.0,0,148,3003,21,1,2
72.0,24.0,64.0,1,150,3001,21,1,3
48.0,40.0,64.0,0,147,3003,21,8,2
56.0,40.0,64.0,1,149,3001,21,8,3
88.0,40.0,64.0,1,109,3001,21,8,3
24.0,56.0,64.0,1,58,3001,21,7,3
56.0,56.0,64.0,1,75,3001,21,8,3
88.0,56.0,64.0,1,82,3001,21,8,3
24.0,72.0,64.0,1,59,3001,21,7,3
56.0,72.0,64.0,1,78,3001,21,8,3
88.0,72.0,64.0,1,83,3001,21,8,3
24.0,88.0,64.0,1,63,3001,21,7,3
56.0,88.0,64.0,1,79,3001,21,8,3
88.0,88.0,64.0,1,84,3001,21,9,2
40.0,104.0,64.0,1,64,3001,21,7,3
72.0,104.0,64.0,1,81,3001,21,8,3
96.0,24.0,67.2,0,155,3022,21,0,0
112.0,40.0,67.2,0,157,3022,21,0,0
32.0,56.0,67.2,0,87,3022,21,0,0
32.0,72.0,67.2,0,88,3020,21,7,1
48.0,104.0,67.2,0,90,3022,21,0,0
96.0,24.0,70.4,0,158,3022,21,0,0
112.0,40.0,70.4,0,159,3022,21,0,0
32.0,56.0,70.4,0,94,3020,21,0,0
48.0,104.0,70.4,0,39,3022,21,0,0
64.0,24.0,73.60000000000001,0,153,3001,21,0,0
80.0,24.0,73.60000000000001,0,154,3001,21,1,3
48.0,40.0,73.60000000000001,0,89,3001,21,9,2
96.0,40.0,73.60000000000001,0,156,3003,21,6,2
64.0,56.0,73.60000000000001,0,33,3001,21,8,3
80.0,56.0,73.60000000000001,0,35,3001,21,8,3
96.0,56.0,73.60000000000001,0,37,3001,21,8,3
112.0,56.0,73.60000000000001,0,91,3003,21,7,2
48.0,72.0,73.60000000000001,0,31,3001,21,9,2
112.0,72.0,73.60000000000001,0,9,3001,21,8,3
64.0,88.0,73.60000000000001,0,34,3001,21,8,3
80.0,88.0,73.60000000000001,0,36,3001,21,8,3
96.0,88.0,73.60000000000001,0,38,3001,21,9,3
48.0,40.0,76.80000000000001,0,160,3022,21,0,0
96.0,40.0,76.80000000000001,0,162,3022,21,0,0
96.0,56.0,76.80000000000001,0,166,3020,28,7,1
104.0,56.0,76.80000000000001,1,57,3020,28,8,1
104.0,72.0,76.80000000000001,1,50,3020,28,8,1
96.0,88.0,76.80000000000001,0,16,3020,21,7,1
56.0,104.0,76.80000000000001,1,11,3020,21,5,1
48.0,40.0,80.0,0,163,3022,21,0,0
96.0,40.0,80.0,0,164,3022,21,0,0
112.0,56.0,80.0,0,54,3020,28,7,1
96.0,88.0,80.0,0,20,3022,21,7,1
80.0,104.0,80.0,0,17,3022,21,0,0
56.0,40.0,83.2,1,161,3001,21,1,2
40.0,56.0,83.2,1,97,3001,21,7,3
80.0,56.0,83.2,0,48,3001,21,9,1
40.0,72.0,83.2,1,43,3001,21,6,3
40.0,88.0,83.2,1,10,3001,21,9,1
80.0,88.0,83.2,0,14,3003,21,9,2
64.0,56.0,86.4,0,55,3020,21,0,0
80.0,72.0,86.4,0,56,3022,21,0,0
64.0,88.0,86.4,0,30,3022,21,7,1
