0,1,2,3,4,5,6,7,8
40.0,40.0,0.0,1,3,3020,106,0,0
80.0,40.0,0.0,0,8,3020,106,1,1
40.0,56.0,0.0,1,4,3020,106,6,1
96.0,56.0,0.0,0,13,3022,106,0,0
40.0,72.0,0.0,1,5,3020,106,7,1
72.0,72.0,0.0,1,9,3020,106,8,1
72.0,88.0,0.0,1,10,3020,106,7,1
24.0,40.0,3.2,1,17,3020,106,0,0
64.0,40.0,3.2,0,20,3022,21,0,0
80.0,40.0,3.2,0,22,3022,106,1,1
48.0,56.0,3.2,0,18,3022,21,7,1
64.0,56.0,3.2,0,21,3020,21,8,1
80.0,56.0,3.2,0,23,3022,21,7,1
88.0,56.0,3.2,1,25,3020,106,8,1
48.0,72.0,3.2,0,19,3022,106,6,1
80.0,72.0,3.2,0,24,3020,21,8,1
96.0,72.0,3.2,0,26,3020,21,8,1
32.0,24.0,6.4,0,27,3020,106,0,0
48.0,24.0,6.4,0,2,3003,106,3,2
56.0,24.0,6.4,1,259,3001,106,2,2
40.0,40.0,6.4,1,28,3020,21,8,1
80.0,40.0,6.4,0,32,3022,106,7,1
96.0,40.0,6.4,0,12,3003,106,3,2
32.0,56.0,6.4,0,1,3001,106,5,1
48.0,56.0,6.4,0,29,3020,21,8,1
56.0,56.0,6.4,1,30,3020,21,8,1
96.0,56.0,6.4,0,34,3022,106,7,1
112.0,56.0,6.4,0,36,3022,106,1,1
56.0,72.0,6.4,1,31,3020,21,8,1
96.0,72.0,6.4,0,35,3022,106,7,1
112.0,72.0,6.4,0,15,3001,106,8,3
32.0,88.0,6.4,0,255,3003,106,7,3
40.0,88.0,6.4,1,6,3001,106,9,2
72.0,88.0,6.4,1,33,3020,21,9,1
56.0,104.0,6.4,1,7,3001,106,7,3
88.0,104.0,6.4,1,14,3001,106,8,3
72.0,120.0,6.4,1,11,3001,106,7,3
112.0,120.0,6.4,0,16,3003,106,7,3
24.0,24.0,9.600000000000001,1,37,3020,106,0,0
64.0,24.0,9.600000000000001,0,42,3022,106,0,0
80.0,24.0,9.600000000000001,0,46,3022,106,1,1
112.0,72.0,9.600000000000001,0,53,3022,106,0,0
112.0,120.0,9.600000000000001,0,55,3022,106,0,0
24.0,40.0,16.0,1,38,3001,106,7,1
56.0,40.0,16.0,1,43,3001,106,8,1
96.0,40.0,16.0,0,50,3001,106,8,1
32.0,56.0,16.0,0,39,3001,106,7,3
48.0,56.0,16.0,0,41,3001,21,8,3
64.0,56.0,16.0,0,44,3001,21,8,3
80.0,56.0,16.0,0,47,3001,21,9,3
96.0,72.0,16.0,0,51,3001,106,8,3
24.0,88.0,16.0,1,40,3001,106,7,3
64.0,88.0,16.0,0,45,3001,106,8,3
80.0,88.0,16.0,0,48,3003,21,6,3
112.0,88.0,16.0,0,54,3001,106,9,1
80.0,104.0,16.0,0,49,3001,106,8,3
96.0,104.0,16.0,0,52,3001,106,9,3
32.0,40.0,25.6,0,253,3001,106,0,0
40.0,40.0,25.6,1,57,3001,106,1,3
72.0,40.0,25.6,1,64,3001,106,1,3
48.0,56.0,25.6,0,58,3001,21,8,3
56.0,56.0,25.6,1,60,3001,21,8,3
96.0,56.0,25.6,0,66,3001,106,8,3
32.0,72.0,25.6,0,56,3001,106,6,3
56.0,72.0,25.6,1,61,3001,21,9,3
48.0,88.0,25.6,0,59,3001,106,8,3
56.0,88.0,25.6,1,62,3001,21,8,3
88.0,88.0,25.6,1,67,3001,106,8,3
56.0,104.0,25.6,1,63,3001,106,8,3
88.0,104.0,25.6,1,68,3001,106,8,3
72.0,120.0,25.6,1,65,3001,106,7,3
32.0,40.0,28.8,0,69,3022,106,0,0
48.0,56.0,28.8,0,73,3020,21,7,1
32.0,40.0,32.0,0,85,3022,106,0,0
48.0,56.0,32.0,0,86,3022,106,0,0
48.0,72.0,32.0,0,87,3022,21,7,1
40.0,40.0,35.2,1,72,3001,106,2,2
80.0,40.0,35.2,0,78,3003,106,0,0
96.0,40.0,35.2,0,81,3001,106,1,3
32.0,56.0,35.2,0,70,3003,106,9,1
48.0,56.0,35.2,0,88,3022,106,8,1
56.0,56.0,35.2,1,75,3001,21,9,1
32.0,72.0,35.2,0,71,3001,106,6,1
48.0,72.0,35.2,0,89,3022,106,7,1
64.0,72.0,35.2,0,76,3001,21,8,3
80.0,72.0,35.2,0,79,3001,21,8,3
96.0,72.0,35.2,0,82,3001,106,8,3
48.0,88.0,35.2,0,74,3001,106,9,3
112.0,88.0,35.2,0,84,3001,106,1,3
64.0,104.0,35.2,0,77,3003,106,7,3
80.0,104.0,35.2,0,80,3001,106,8,3
96.0,104.0,35.2,0,83,3001,106,9,3
48.0,40.0,38.400000000000006,0,91,3022,106,0,0
96.0,40.0,38.400000000000006,0,102,3022,106,0,0
32.0,56.0,38.400000000000006,0,90,3020,106,0,0
48.0,56.0,38.400000000000006,0,92,3022,106,7,1
80.0,56.0,38.400000000000006,0,98,3022,21,0,0
64.0,88.0,38.400000000000006,0,97,3022,21,0,0
48.0,40.0,41.6,0,106,3020,106,0,0
96.0,40.0,41.6,0,109,3022,106,0,0
80.0,56.0,41.6,0,108,3022,106,0,0
64.0,88.0,41.6,0,107,3022,21,0,0
48.0,40.0,44.800000000000004,0,110,3022,106,0,0
56.0,40.0,44.800000000000004,1,95,3001,106,2,2
48.0,56.0,44.800000000000004,0,111,3022,106,7,1
64.0,56.0,44.800000000000004,0,96,3001,21,9,2
80.0,56.0,44.800000000000004,0,113,3022,106,7,1
96.0,56.0,44.800000000000004,0,103,3001,106,8,2
