0,1,2,3,4,5,6,7,8
152.0,168.0,0.0,0,83,3020,21,0,0
168.0,168.0,0.0,0,84,3020,21,1,1
168.0,136.0,0.0,0,86,3020,21,3,1
152.0,136.0,0.0,0,87,3020,21,4,1
152.0,72.0,0.0,0,99,3020,21,0,0
168.0,72.0,0.0,0,100,3020,21,1,1
168.0,40.0,0.0,0,102,3020,21,3,1
152.0,40.0,0.0,0,103,3020,21,4,1
168.0,104.0,0.0,0,111,3020,21,9,1
152.0,104.0,0.0,0,112,3020,21,9,1
144.0,184.0,3.2,1,42,3020,21,0,0
144.0,168.0,3.2,1,85,3020,21,3,1
152.0,120.0,3.2,0,88,3020,21,0,0
168.0,120.0,3.2,0,89,3020,21,1,1
144.0,152.0,3.2,1,90,3020,21,9,1
144.0,72.0,3.2,1,101,3020,21,0,0
144.0,56.0,3.2,1,104,3020,21,3,1
152.0,88.0,3.2,0,113,3020,21,9,1
168.0,88.0,3.2,0,114,3020,21,9,1
144.0,40.0,3.2,1,118,3020,21,3,1
24.0,48.0,6.4,1,2,3001,23,0,0
24.0,64.0,6.4,1,3,3001,23,7,3
24.0,144.0,6.4,1,4,3001,23,0,0
24.0,160.0,6.4,1,5,3001,23,7,3
168.0,136.0,6.4,0,91,3020,21,0,0
168.0,168.0,6.4,0,92,3020,21,7,1
152.0,136.0,6.4,0,93,3020,21,5,1
152.0,168.0,6.4,0,94,3020,21,6,1
168.0,40.0,6.4,0,105,3020,21,0,0
168.0,72.0,6.4,0,106,3020,21,7,1
152.0,40.0,6.4,0,107,3020,21,5,1
152.0,72.0,6.4,0,108,3020,21,6,1
168.0,104.0,6.4,0,115,3020,21,9,1
152.0,104.0,6.4,0,116,3020,21,9,1
152.0,104.0,9.600000000000001,0,43,3020,21,0,0
144.0,136.0,9.600000000000001,1,44,3020,21,7,1
144.0,184.0,9.600000000000001,1,45,3020,21,0,0
168.0,104.0,9.600000000000001,0,46,3020,23,2,1
144.0,152.0,9.600000000000001,1,95,3020,21,7,1
144.0,168.0,9.600000000000001,1,96,3020,21,9,1
144.0,56.0,9.600000000000001,1,109,3020,21,0,0
144.0,72.0,9.600000000000001,1,110,3020,21,7,1
144.0,88.0,9.600000000000001,1,117,3020,21,9,1
144.0,40.0,9.600000000000001,1,119,3020,21,3,1
152.0,104.0,12.8,0,0,3020,28,0,0
168.0,104.0,12.8,0,47,3020,23,1,1
168.0,152.0,12.8,0,97,3020,21,0,0
152.0,152.0,12.8,0,98,3020,21,5,1
152.0,56.0,12.8,0,120,3020,21,0,0
168.0,56.0,12.8,0,121,3020,21,1,1
152.0,104.0,16.0,0,1,3020,28,0,0
32.0,48.0,16.0,0,6,3001,23,0,0
32.0,144.0,16.0,0,7,3001,23,0,0
48.0,48.0,16.0,0,8,3001,23,1,3
48.0,144.0,16.0,0,9,3001,23,1,3
168.0,104.0,16.0,0,48,3020,23,1,1
144.0,56.0,16.0,1,122,3020,21,0,0
144.0,72.0,16.0,1,123,3020,21,7,1
144.0,152.0,16.0,1,130,3020,21,0,0
144.0,168.0,16.0,1,131,3020,21,7,1
