0,1,2,3,4,5,6,7,8
24.0,24.0,6.4,1,1,3001,28,0,0
24.0,40.0,6.4,1,2,3001,28,7,3
24.0,56.0,6.4,1,3,3001,28,7,3
24.0,72.0,6.4,1,4,3001,28,7,3
24.0,88.0,6.4,1,5,3001,28,7,3
24.0,104.0,6.4,1,6,3001,28,7,3
24.0,120.0,6.4,1,7,3001,28,7,3
24.0,136.0,6.4,1,8,3001,28,7,3
24.0,152.0,6.4,1,9,3001,28,7,3
24.0,168.0,6.4,1,10,3001,28,7,3
24.0,184.0,6.4,1,11,3001,28,7,3
24.0,200.0,6.4,1,12,3001,28,7,3
24.0,216.0,6.4,1,13,3001,28,7,3
24.0,232.0,6.4,1,14,3001,28,7,3
24.0,248.0,6.4,1,15,3001,28,7,3
24.0,264.0,6.4,1,16,3001,28,7,3
56.0,24.0,6.4,1,17,3001,28,1,3
56.0,40.0,6.4,1,18,3001,28,8,3
56.0,56.0,6.4,1,19,3001,28,8,3
56.0,72.0,6.4,1,20,3001,28,8,3
56.0,88.0,6.4,1,21,3001,28,8,3
56.0,104.0,6.4,1,22,3001,28,8,3
56.0,120.0,6.4,1,23,3001,28,8,3
56.0,136.0,6.4,1,24,3001,28,8,3
56.0,152.0,6.4,1,25,3001,28,8,3
56.0,168.0,6.4,1,26,3001,28,8,3
56.0,184.0,6.4,1,27,3001,28,8,3
56.0,200.0,6.4,1,28,3001,28,8,3
56.0,216.0,6.4,1,29,3001,28,8,3
56.0,232.0,6.4,1,30,3001,28,8,3
56.0,248.0,6.4,1,31,3001,28,8,3
56.0,264.0,6.4,1,32,3001,28,8,3
88.0,24.0,6.4,1,33,3001,28,1,3
88.0,40.0,6.4,1,34,3001,28,8,3
88.0,56.0,6.4,1,35,3001,28,8,3
88.0,72.0,6.4,1,36,3001,28,8,3
88.0,88.0,6.4,1,37,3001,28,8,3
88.0,104.0,6.4,1,38,3001,28,8,3
88.0,120.0,6.4,1,39,3001,28,8,3
88.0,136.0,6.4,1,40,3001,28,8,3
88.0,152.0,6.4,1,41,3001,28,8,3
88.0,168.0,6.4,1,42,3001,28,8,3
88.0,184.0,6.4,1,43,3001,28,8,3
88.0,200.0,6.4,1,44,3001,28,8,3
88.0,216.0,6.4,1,45,3001,28,8,3
88.0,232.0,6.4,1,46,3001,28,8,3
88.0,248.0,6.4,1,47,3001,28,8,3
88.0,264.0,6.4,1,48,3001,28,8,3
120.0,24.0,6.4,1,49,3001,28,1,3
120.0,40.0,6.4,1,50,3001,28,8,3
120.0,56.0,6.4,1,51,3001,28,8,3
120.0,72.0,6.4,1,52,3001,28,8,3
120.0,88.0,6.4,1,53,3001,28,8,3
120.0,104.0,6.4,1,54,3001,28,8,3
120.0,120.0,6.4,1,55,3001,28,8,3
120.0,136.0,6.4,1,56,3001,28,8,3
120.0,152.0,6.4,1,57,3001,28,8,3
120.0,168.0,6.4,1,58,3001,28,8,3
120.0,184.0,6.4,1,59,3001,28,8,3
120.0,200.0,6.4,1,60,3001,28,8,3
120.0,216.0,6.4,1,61,3001,28,8,3
120.0,232.0,6.4,1,62,3001,28,8,3
120.0,248.0,6.4,1,63,3001,28,8,3
120.0,264.0,6.4,1,64,3001,28,8,3
152.0,24.0,6.4,1,65,3001,28,1,3
152.0,40.0,6.4,1,66,3001,28,8,3
152.0,56.0,6.4,1,67,3001,28,8,3
152.0,72.0,6.4,1,68,3001,28,8,3
152.0,88.0,6.4,1,69,3001,28,8,3
152.0,104.0,6.4,1,70,3001,28,8,3
152.0,120.0,6.4,1,71,3001,28,8,3
152.0,136.0,6.4,1,72,3001,28,8,3
152.0,152.0,6.4,1,73,3001,28,8,3
152.0,168.0,6.4,1,74,3001,28,8,3
152.0,184.0,6.4,1,75,3001,28,8,3
152.0,200.0,6.4,1,76,3001,28,8,3
152.0,216.0,6.4,1,77,3001,28,8,3
152.0,232.0,6.4,1,78,3001,28,8,3
152.0,248.0,6.4,1,79,3001,28,8,3
152.0,264.0,6.4,1,80,3001,28,8,3
184.0,24.0,6.4,1,81,3001,28,1,3
184.0,40.0,6.4,1,82,3001,28,8,3
184.0,56.0,6.4,1,83,3001,28,8,3
184.0,72.0,6.4,1,84,3001,28,8,3
