brick_id,pickup_start,pickup_end,pickup_attempts,belt_activation,place_end,source_file
1,2024-06-14 14:44:37,2024-06-14 14:46:49,3,0,2024-06-14 14:47:39,KPI_DATA_build_20240614_144433.csv
2,2024-06-14 14:47:39,2024-06-14 14:48:03,1,0,2024-06-14 14:48:47,KPI_DATA_build_20240614_144433.csv
3,2024-06-14 14:48:47,2024-06-14 14:49:08,1,0,2024-06-14 14:49:21,KPI_DATA_build_20240614_144433.csv
4,2024-06-14 14:49:21,2024-06-14 14:49:38,1,0,2024-06-14 14:49:50,KPI_DATA_build_20240614_144433.csv
5,2024-06-14 14:49:50,2024-06-14 14:50:08,1,0,2024-06-14 14:50:20,KPI_DATA_build_20240614_144433.csv
6,2024-06-14 14:50:20,2024-06-14 14:50:37,1,0,2024-06-14 14:50:50,KPI_DATA_build_20240614_144433.csv
7,2024-06-14 14:50:50,2024-06-14 14:52:12,1,1,2024-06-14 14:52:24,KPI_DATA_build_20240614_144433.csv
8,2024-06-14 14:52:24,2024-06-14 14:52:42,1,0,2024-06-14 14:52:55,KPI_DATA_build_20240614_144433.csv
9,2024-06-14 14:52:55,2024-06-14 14:53:32,3,0,2024-06-14 14:53:44,KPI_DATA_build_20240614_144433.csv
10,2024-06-14 14:53:44,2024-06-14 14:54:02,1,0,2024-06-14 14:54:14,KPI_DATA_build_20240614_144433.csv
11,2024-06-14 14:54:14,2024-06-14 14:54:31,1,0,2024-06-14 14:54:44,KPI_DATA_build_20240614_144433.csv
12,2024-06-14 14:54:44,2024-06-14 14:56:02,1,1,2024-06-14 14:56:15,KPI_DATA_build_20240614_144433.csv
13,2024-06-14 14:56:15,2024-06-14 14:56:31,1,0,2024-06-14 14:56:44,KPI_DATA_build_20240614_144433.csv
14,2024-06-14 14:56:44,2024-06-14 14:57:11,2,0,2024-06-14 14:57:24,KPI_DATA_build_20240614_144433.csv
15,2024-06-14 14:57:24,2024-06-14 14:57:41,1,0,2024-06-14 14:57:54,KPI_DATA_build_20240614_144433.csv
16,2024-06-14 14:57:54,2024-06-14 14:58:10,1,0,2024-06-14 14:58:23,KPI_DATA_build_20240614_144433.csv
17,2024-06-14 14:58:23,2024-06-14 14:58:40,1,0,2024-06-14 14:58:53,KPI_DATA_build_20240614_144433.csv
18,2024-06-14 14:58:53,2024-06-14 14:59:11,1,0,2024-06-14 14:59:24,KPI_DATA_build_20240614_144433.csv
1,2024-06-14 15:04:23,2024-06-14 15:05:48,2,0,2024-06-14 15:05:59,KPI_DATA_build_20240614_150420.csv
2,2024-06-14 15:05:59,2024-06-14 15:06:13,1,0,2024-06-14 15:06:24,KPI_DATA_build_20240614_150420.csv
3,2024-06-14 15:06:24,2024-06-14 15:06:38,1,0,2024-06-14 15:06:49,KPI_DATA_build_20240614_150420.csv
4,2024-06-14 15:06:49,2024-06-14 15:07:04,1,0,2024-06-14 15:07:15,KPI_DATA_build_20240614_150420.csv
5,2024-06-14 15:07:15,2024-06-14 15:07:28,1,0,2024-06-14 15:07:39,KPI_DATA_build_20240614_150420.csv
6,2024-06-14 15:07:39,2024-06-14 15:07:54,1,0,2024-06-14 15:08:06,KPI_DATA_build_20240614_150420.csv
7,2024-06-14 15:08:06,2024-06-14 15:08:19,1,0,2024-06-14 15:08:31,KPI_DATA_build_20240614_150420.csv
8,2024-06-14 15:08:31,2024-06-14 15:09:48,1,1,2024-06-14 15:09:59,KPI_DATA_build_20240614_150420.csv
9,2024-06-14 15:09:59,2024-06-14 15:10:20,2,0,2024-06-14 15:10:31,KPI_DATA_build_20240614_150420.csv
10,2024-06-14 15:10:31,2024-06-14 15:10:45,1,0,2024-06-14 15:10:56,KPI_DATA_build_20240614_150420.csv
11,2024-06-14 15:10:56,2024-06-14 15:11:18,2,0,2024-06-14 15:11:29,KPI_DATA_build_20240614_150420.csv
12,2024-06-14 15:11:29,2024-06-14 15:11:43,1,0,2024-06-14 15:11:55,KPI_DATA_build_20240614_150420.csv
13,2024-06-14 15:11:55,2024-06-14 15:13:31,2,1,2024-06-14 15:13:42,KPI_DATA_build_20240614_150420.csv
2,2024-06-14 15:30:23,2024-06-14 15:31:51,3,0,2024-06-14 15:32:02,KPI_DATA_build_20240614_153020.csv
3,2024-06-14 15:32:02,2024-06-14 15:32:17,1,0,2024-06-14 15:32:28,KPI_DATA_build_20240614_153020.csv
4,2024-06-14 15:32:28,2024-06-14 15:32:42,1,0,2024-06-14 15:32:53,KPI_DATA_build_20240614_153020.csv
5,2024-06-14 15:32:53,2024-06-14 15:33:08,1,0,2024-06-14 15:33:19,KPI_DATA_build_20240614_153020.csv
6,2024-06-14 15:33:19,2024-06-14 15:33:33,1,0,2024-06-14 15:33:44,KPI_DATA_build_20240614_153020.csv
7,2024-06-14 15:33:44,2024-06-14 15:35:21,2,1,2024-06-14 15:35:32,KPI_DATA_build_20240614_153020.csv
8,2024-06-14 15:35:32,2024-06-14 15:35:47,1,0,2024-06-14 15:35:57,KPI_DATA_build_20240614_153020.csv
9,2024-06-14 15:35:57,2024-06-14 15:36:12,1,0,2024-06-14 15:36:23,KPI_DATA_build_20240614_153020.csv
10,2024-06-14 15:37:51,2024-06-14 15:39:16,1,0,2024-06-14 15:39:27,KPI_DATA_build_20240614_153749.csv
11,2024-06-14 15:39:27,2024-06-14 15:39:41,1,0,2024-06-14 15:39:52,KPI_DATA_build_20240614_153749.csv
12,2024-06-14 15:41:53,2024-06-14 15:43:18,2,0,2024-06-14 15:43:29,KPI_DATA_build_20240614_154150.csv
13,2024-06-14 15:43:29,2024-06-14 15:43:43,1,0,2024-06-14 15:43:54,KPI_DATA_build_20240614_154150.csv
14,2024-06-14 15:43:54,2024-06-14 15:44:09,1,0,2024-06-14 15:44:20,KPI_DATA_build_20240614_154150.csv
15,2024-06-14 15:44:20,2024-06-14 15:44:34,1,0,2024-06-14 15:44:44,KPI_DATA_build_20240614_154150.csv
16,2024-06-14 15:46:03,2024-06-14 15:47:27,2,0,2024-06-14 15:47:38,KPI_DATA_build_20240614_154600.csv
17,2024-06-14 15:48:38,2024-06-14 15:49:49,1,0,2024-06-14 15:50:00,KPI_DATA_build_20240614_154835.csv
18,2024-06-14 15:50:00,2024-06-14 15:50:15,1,0,2024-06-14 15:50:26,KPI_DATA_build_20240614_154835.csv
19,2024-06-14 15:50:26,2024-06-14 15:50:47,2,0,2024-06-14 15:50:58,KPI_DATA_build_20240614_154835.csv
20,2024-06-14 15:50:58,2024-06-14 15:51:12,1,0,2024-06-14 15:51:23,KPI_DATA_build_20240614_154835.csv
21,2024-06-14 15:51:23,2024-06-14 15:51:37,1,0,2024-06-14 15:51:48,KPI_DATA_build_20240614_154835.csv
22,2024-06-14 15:51:48,2024-06-14 15:52:02,1,0,2024-06-14 15:52:13,KPI_DATA_build_20240614_154835.csv
23,2024-06-14 15:52:13,2024-06-14 15:53:33,2,1,2024-06-14 15:53:44,KPI_DATA_build_20240614_154835.csv
24,2024-06-14 15:53:44,2024-06-14 15:53:58,1,0,2024-06-14 15:54:10,KPI_DATA_build_20240614_154835.csv
25,2024-06-14 15:54:10,2024-06-14 15:54:24,1,0,2024-06-14 15:54:35,KPI_DATA_build_20240614_154835.csv
26,2024-06-14 15:54:35,2024-06-14 15:54:49,1,0,2024-06-14 15:55:00,KPI_DATA_build_20240614_154835.csv
27,2024-06-14 15:55:00,2024-06-14 15:56:35,2,1,2024-06-14 15:56:46,KPI_DATA_build_20240614_154835.csv
28,2024-06-14 15:56:46,2024-06-14 15:57:00,1,0,2024-06-14 15:57:11,KPI_DATA_build_20240614_154835.csv
29,2024-06-14 15:57:11,2024-06-14 15:57:25,1,0,2024-06-14 15:57:36,KPI_DATA_build_20240614_154835.csv
30,2024-06-14 15:57:36,2024-06-14 15:57:50,1,0,2024-06-14 15:58:02,KPI_DATA_build_20240614_154835.csv
31,2024-06-14 15:58:02,2024-06-14 15:59:15,1,1,2024-06-14 15:59:26,KPI_DATA_build_20240614_154835.csv
32,2024-06-14 15:59:26,2024-06-14 15:59:41,1,0,2024-06-14 15:59:52,KPI_DATA_build_20240614_154835.csv
33,2024-06-14 15:59:52,2024-06-14 16:00:06,1,0,2024-06-14 16:00:17,KPI_DATA_build_20240614_154835.csv
34,2024-06-14 16:00:17,2024-06-14 16:00:31,1,0,2024-06-14 16:00:42,KPI_DATA_build_20240614_154835.csv
35,2024-06-14 16:00:42,2024-06-14 16:01:54,1,1,2024-06-14 16:02:05,KPI_DATA_build_20240614_154835.csv
36,2024-06-14 16:02:05,2024-06-14 16:02:19,1,0,2024-06-14 16:02:31,KPI_DATA_build_20240614_154835.csv
37,2024-06-14 16:02:31,2024-06-14 16:02:46,1,0,2024-06-14 16:02:57,KPI_DATA_build_20240614_154835.csv
38,2024-06-14 16:02:57,2024-06-14 16:03:11,1,0,2024-06-14 16:03:22,KPI_DATA_build_20240614_154835.csv
39,2024-06-14 16:03:22,2024-06-14 16:04:34,1,1,2024-06-14 16:04:45,KPI_DATA_build_20240614_154835.csv
