brick_id,pickup_start,pickup_end,pickup_attempts,belt_activation,place_end,source_file
1,2024-05-21 10:03:01,2024-05-21 10:09:31,1,0,2024-05-21 10:10:29,KPI_DATA_build_20240521_100257.csv
2,2024-05-21 10:10:29,2024-05-21 10:10:52,1,0,2024-05-21 10:11:29,KPI_DATA_build_20240521_100257.csv
3,2024-05-21 10:11:29,2024-05-21 10:11:46,1,0,2024-05-21 10:11:58,KPI_DATA_build_20240521_100257.csv
4,2024-05-21 10:11:58,2024-05-21 10:15:12,1,3,2024-05-21 10:15:24,KPI_DATA_build_20240521_100257.csv
5,2024-05-21 10:15:24,2024-05-21 10:17:17,1,2,2024-05-21 10:17:29,KPI_DATA_build_20240521_100257.csv
6,2024-05-21 10:17:29,2024-05-21 10:25:55,4,8,2024-05-21 10:26:07,KPI_DATA_build_20240521_100257.csv
7,2024-05-21 10:26:07,2024-05-21 10:28:18,1,2,2024-05-21 10:28:29,KPI_DATA_build_20240521_100257.csv
8,2024-05-21 10:32:21,2024-05-21 10:34:30,1,1,2024-05-21 10:34:42,KPI_DATA_build_20240521_103220.csv
9,2024-05-21 10:34:42,2024-05-21 10:38:14,2,3,2024-05-21 10:38:26,KPI_DATA_build_20240521_103220.csv
10,2024-05-21 10:38:26,2024-05-21 10:47:03,3,8,2024-05-21 10:47:14,KPI_DATA_build_20240521_103220.csv
11,2024-05-21 10:47:14,2024-05-21 10:53:55,2,6,2024-05-21 10:54:07,KPI_DATA_build_20240521_103220.csv
12,2024-05-21 10:54:07,2024-05-21 10:59:12,3,4,2024-05-21 10:59:24,KPI_DATA_build_20240521_103220.csv
13,2024-05-21 10:59:24,2024-05-21 11:13:57,7,11,2024-05-21 11:14:08,KPI_DATA_build_20240521_103220.csv
14,2024-05-21 11:14:08,2024-05-21 11:21:51,2,6,2024-05-21 11:22:03,KPI_DATA_build_20240521_103220.csv
15,2024-05-21 11:22:03,2024-05-21 11:22:18,1,0,2024-05-21 11:22:30,KPI_DATA_build_20240521_103220.csv
16,2024-05-21 11:22:30,2024-05-21 11:22:48,1,0,2024-05-21 11:23:00,KPI_DATA_build_20240521_103220.csv   
17,2024-05-21 11:23:00,2024-05-21 11:25:28,1,2,2024-05-21 11:25:40,KPI_DATA_build_20240521_103220.csv
18,2024-05-21 11:25:40,2024-05-21 11:25:56,1,0,2024-05-21 11:26:08,KPI_DATA_build_20240521_103220.csv
19,2024-05-21 11:26:08,2024-05-21 11:34:28,2,7,2024-05-21 11:34:39,KPI_DATA_build_20240521_103220.csv
20,2024-05-21 11:34:39,2024-05-21 11:51:39,3,13,2024-05-21 11:51:51,KPI_DATA_build_20240521_103220.csv
21,2024-05-21 11:51:51,2024-05-21 11:54:36,1,2,2024-05-21 11:54:48,KPI_DATA_build_20240521_103220.csv
22,2024-05-21 11:54:48,2024-05-21 12:10:06,6,11,2024-05-21 12:10:17,KPI_DATA_build_20240521_103220.csv
